scenario_name,scenario_order,scenario_display,pathway,pathway_order,pathway_display,selected_in_baseline_portfolio,claim_color_group,metric_key,metric_display,metric_order,metric_value,normalized_value
policy_support_case,3,Policy support,htc,1,HTC,False,planning_ready,best_case_energy_pj_per_year,Energy,3,10.37,0.844279
policy_support_case,3,Policy support,htc,1,HTC,False,planning_ready,best_case_environment_ktco2e_per_year,Environment,4,254.5,0.708308
policy_support_case,3,Policy support,htc,1,HTC,False,planning_ready,score_gap_to_scenario_best_pct,Score gap,5,0.0,0.92
policy_support_case,3,Policy support,pyrolysis,2,Pyrolysis,True,planning_ready,best_case_score_index,Score,0,0.913,0.717921
policy_support_case,3,Policy support,pyrolysis,2,Pyrolysis,True,planning_ready,baseline_portfolio_share_pct,Share,1,100.0,0.92
policy_support_case,3,Policy support,pyrolysis,2,Pyrolysis,True,planning_ready,max_stress_selection_rate,Support,2,62.5,0.79
policy_support_case,3,Policy support,pyrolysis,2,Pyrolysis,True,planning_ready,best_case_energy_pj_per_year,Energy,3,9.65,0.791348
policy_support_case,3,Policy support,pyrolysis,2,Pyrolysis,True,planning_ready,best_case_environment_ktco2e_per_year,Environment,4,257.8,0.715677
policy_support_case,3,Policy support,pyrolysis,2,Pyrolysis,True,planning_ready,score_gap_to_scenario_best_pct,Score gap,5,25.6,0.717895
policy_support_case,3,Policy support,ad,3,AD,False,comparison_only,best_case_score_index,Score,0,0.084,0.184406
policy_support_case,3,Policy support,ad,3,AD,False,comparison_only,baseline_portfolio_share_pct,Share,1,0.0,0.14
policy_support_case,3,Policy support,ad,3,AD,False,comparison_only,max_stress_selection_rate,Support,2,,0.14
policy_support_case,3,Policy support,ad,3,AD,False,comparison_only,best_case_energy_pj_per_year,Energy,3,1.5,0.192196
policy_support_case,3,Policy support,ad,3,AD,False,comparison_only,best_case_environment_ktco2e_per_year,Environment,4,349.3,0.92
policy_support_case,3,Policy support,ad,3,AD,False,comparison_only,score_gap_to_scenario_best_pct,Score gap,5,93.2,0.184211
policy_support_case,3,Policy support,baseline,4,Baseline,False,anchor_only,best_case_score_index,Score,0,0.015,0.14
policy_support_case,3,Policy support,baseline,4,Baseline,False,anchor_only,baseline_portfolio_share_pct,Share,1,0.0,0.14
policy_support_case,3,Policy support,baseline,4,Baseline,False,anchor_only,max_stress_selection_rate,Support,2,,0.14
policy_support_case,3,Policy support,baseline,4,Baseline,False,anchor_only,best_case_energy_pj_per_year,Energy,3,0.79,0.14
policy_support_case,3,Policy support,baseline,4,Baseline,False,anchor_only,best_case_environment_ktco2e_per_year,Environment,4,0.0,0.14
policy_support_case,3,Policy support,baseline,4,Baseline,False,anchor_only,score_gap_to_scenario_best_pct,Score gap,5,98.8,0.14
