dataset_id,source_url,landing_page_url,output_file,downloaded_at_utc,status,record_count,notes
california_epa_warm_food_waste_text_extract,https://www.epa.gov/system/files/documents/2023-12/warm_organic_materials_v16_dec.pdf,https://www.epa.gov/warm/versions-waste-reduction-model,data\raw\external-region-data\california\emission_factors\epa_warm_organic_materials_v16_dec_2023.txt,2026-04-04T00:24:26+00:00,generated,,Plain-text extraction of the EPA WARM organic materials PDF for traceable factor parsing.
california_waste_treatment_emission_factor_reference,https://www.epa.gov/system/files/documents/2023-12/warm_organic_materials_v16_dec.pdf,https://www.epa.gov/warm/versions-waste-reduction-model,data\raw\external-region-data\california\emission_factors\california_waste_treatment_emission_factor_reference.csv,2026-04-04T00:24:26+00:00,generated,11,Structured EPA WARM food-waste treatment emission-factor reference for California Paper 1. The default baseline row is an explicitly documented analytical proxy.
