,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,cost_type,Units,npv_0.02,npv_0.12,npv_0.2
0,2220.7414856769715,2499.0157518421747,2777.2900180073775,3055.5642841725808,3333.838550337784,3612.112816502987,4771.127650116536,5930.142483730084,7089.157317343632,8248.172150957182,9407.18698457073,12772.401883726176,16137.616782881618,19502.83168203706,22868.046581192506,26233.26148034795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Subsidy,Million 2025$USD/yr,0.12153556651790963,0.048730788212699494,0.027914545327342624
9,0.0,0.0,0.0,0.0,0.0,131693.5765959413,139704.40668040095,147715.23676486063,155726.06684932025,163736.89693377994,171747.7270182396,172512.16447583603,173276.60193343245,174041.0393910289,174805.47684862535,175569.91430622176,230577.36603695076,285584.81776767975,340592.2694984087,395599.72122913774,450607.1729598667,469214.832936505,487822.4929131431,506430.1528897814,525037.8128664197,543645.4728430578,Deadweight Loss,Million 2025$USD/yr,4.244836908008378,0.9951862212557834,0.42181002374701165
0,2540.004423876703,2888.090384246964,3236.1763446172245,3584.2623049874855,3932.3482653577466,6531.829131632191,8235.828981529823,9939.82883142745,11643.82868132508,13347.828531222713,15051.82838112034,18557.921217694184,22064.014054268027,25570.106890841867,29076.199727415715,32582.29256398955,48678.25699575988,64774.22142753021,80870.18585930053,96966.15029107087,113062.11472284119,152102.24250833935,191142.37029383748,230182.4980793356,269222.62586483377,308262.75365033187,CDR Market,Million 2025$USD/yr,1.1753933220677248,0.20184651879238613,0.07022472364057539
