dataset_id,source_url,output_file,downloaded_at_utc,status,record_count,notes
california_sb1383_bill_text_snapshot,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201520160SB1383,data\raw\external-region-data\california\policy_reference\leginfo_sb1383_bill_text.html,2026-04-03T23:52:43+00:00,downloaded,,Official California Legislature SB 1383 bill text HTML snapshot.
california_sb1383_food_recovery_faq_snapshot,https://calrecycle.ca.gov/organics/slcp/faq/foodrecovery/,data\raw\external-region-data\california\policy_reference\calrecycle_sb1383_food_recovery_faq.html,2026-04-03T23:52:43+00:00,downloaded,,Official CalRecycle food recovery FAQ HTML snapshot.
california_sb1383_procurement_snapshot,https://calrecycle.ca.gov/organics/slcp/procurement/recoveredorganicwasteproducts/,data\raw\external-region-data\california\policy_reference\calrecycle_sb1383_procurement_recovered_organic_waste_products.html,2026-04-03T23:52:43+00:00,downloaded,,Official CalRecycle procurement requirements HTML snapshot.
california_sb1383_enforcement_snapshot,https://calrecycle.ca.gov/organics/slcp/enforcement/,data\raw\external-region-data\california\policy_reference\calrecycle_sb1383_enforcement.html,2026-04-03T23:52:43+00:00,downloaded,,Official CalRecycle enforcement overview HTML snapshot.
california_sb1383_policy_reference,https://calrecycle.ca.gov/organics/slcp/faq/foodrecovery/,data\raw\external-region-data\california\policy_reference\california_sb1383_policy_reference.csv,2026-04-03T23:52:43+00:00,generated,5,Structured California SB 1383 policy reference table for Waste2Energy Paper 1.
