region_id,year,waste_stream_type,waste_generation_ton_per_year,collection_rate_pct,moisture_pct,organic_fraction_pct,carbon_pct,nitrogen_pct,data_unit_notes,source_organization,source_url,download_or_publication_date,raw_file_name,notes
us_ca,2023,food_waste,6936252.502993176,20.471711856473565,89.0,91.9,45.95,2.68,Statewide annual tons with composition fields anchored to repository food-waste medians.,California Department of Resources Recycling and Recovery,https://www2.calrecycle.ca.gov/WasteCharacterization/_BusinessGroupStreamsGridData | https://www2.calrecycle.ca.gov/WasteCharacterization/_LocalGovernmentsByCounty | https://www2.calrecycle.ca.gov/WasteCharacterization/_ResidentialPopulationsByStudy | https://www2.calrecycle.ca.gov/WasteCharacterization/_ResidentialStreamsGridData,2026-04-03T13:20:35+00:00,calrecycle_business_group_totals_countywide.json; calrecycle_business_other_organic_streams_countywide.json; calrecycle_county_reference.json; calrecycle_residential_populations_countywide.json; calrecycle_residential_streams_countywide.json,Directly connected to california_food_waste_reference.csv and california_food_waste_model_input.csv for the us_ca Paper 1 region.
us_ca,2023,municipal_wet_waste,,,,,,,Reserved for a later broader California organics aggregation beyond food waste.,California Department of Resources Recycling and Recovery,https://www2.calrecycle.ca.gov/WasteCharacterization/_BusinessGroupStreamsGridData | https://www2.calrecycle.ca.gov/WasteCharacterization/_LocalGovernmentsByCounty | https://www2.calrecycle.ca.gov/WasteCharacterization/_ResidentialPopulationsByStudy | https://www2.calrecycle.ca.gov/WasteCharacterization/_ResidentialStreamsGridData,2026-04-03T13:20:35+00:00,calrecycle_business_group_totals_countywide.json; calrecycle_business_other_organic_streams_countywide.json; calrecycle_county_reference.json; calrecycle_residential_populations_countywide.json; calrecycle_residential_streams_countywide.json,Food-waste pathway is connected; broader municipal wet-waste proxy remains optional.
