region_id,year,factor_name,factor_value,factor_unit,source_organization,source_url,download_or_publication_date,raw_file_name,notes
us_ca,2024,grid_electricity_emission_factor,0.17906420631253,kgCO2e_per_kWh,U.S. Environmental Protection Agency,https://www.epa.gov/system/files/documents/2025-06/egrid2023_data_rev2.xlsx,2026-04-03T14:37:18+00:00,epa_egrid_2023_data.xlsx,Converted from EPA eGRID California state CO2-equivalent total output emission rate (lb/MWh).
us_ca,2024,baseline_waste_treatment_emission_factor,329.9817049835864,kgCO2e_per_short_ton,California Department of Resources Recycling and Recovery; U.S. Environmental Protection Agency,https://www2.calrecycle.ca.gov/WasteCharacterization/ | https://www2.calrecycle.ca.gov/SolidWaste/Site/DataExport | https://www.epa.gov/warm/versions-waste-reduction-model,2026-04-04T00:25:23+00:00,california_food_waste_model_input.csv; california_organics_facility_inventory.csv; epa_warm_organic_materials_v16_dec_2023.pdf,California-weighted food-waste baseline built from California disposal/treatment mix plus EPA WARM pathway factors. California-weighted baseline for food-waste management. Disposal share comes from the current California collection-rate proxy; collected-food-waste treatment shares come from active SWIS food-waste facility technology mix; pathway factors come from EPA WARM.
