region_id,year,livestock_type,animal_count,manure_generation_ton_per_year,manure_collection_rate_pct,manure_moisture_pct,data_unit_notes,source_organization,source_url,download_or_publication_date,raw_file_name,notes
us_ca,2024,dairy,1710000.0,67032.0,85.0,72.0,Animal counts are official California USDA values. Manure generation uses NRCS AWMFH planning factors converted to wet tons per head-year.,USDA National Agricultural Statistics Service; USDA NRCS,https://www.nass.usda.gov/Quick_Stats/Ag_Overview/stateOverview.php?state=CALIFORNIA,2026-04-04T00:26:01.828235+00:00,usda_nass_california_livestock_overview_structured.csv,USDA NASS California state overview; manure generation factor=0.0392 wet tons/head-year; manure moisture from repository manure energy-balance reference.
us_ca,2024,swine,39000.0,74490.0,95.0,76.0,Animal counts are official California USDA values. Manure generation uses NRCS AWMFH planning factors converted to wet tons per head-year.,USDA National Agricultural Statistics Service; USDA NRCS,https://www.nass.usda.gov/Statistics_by_State/California/Publications/Livestock_Releases/Hogs/202412HOGS.pdf,2026-04-04T00:26:01.828235+00:00,usda_nass_california_livestock_release_summary.csv,USDA NASS Pacific Region hogs release; manure generation factor=1.91 wet tons/head-year; manure moisture from repository manure energy-balance reference.
