scenario_name,scenario_order,pathway,pathway_order,pathway_rank_within_scenario,writing_label,selected_in_baseline_portfolio,selected_flag,claim_boundary,claim_color_group,metric_key,metric_label,metric_family,unit,value,value_available,value_label
high_supply_case,2,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,best_case_score_index,Best-case score index,score,index,0.813,True,0.813
high_supply_case,2,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,score_gap_to_scenario_best_pct,Score gap to scenario best,score_gap,pct,37.0,True,37.0%
high_supply_case,2,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,max_stress_selection_rate,Max stress selection rate,stress_support,pct,12.5,True,12.5%
high_supply_case,2,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,best_case_energy_pj_per_year,Best-case energy,energy,PJ/year,1.65,True,1.65
high_supply_case,2,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,best_case_environment_ktco2e_per_year,Best-case environment,environment,ktCO2e/year,320.2,True,320.2
high_supply_case,2,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,baseline_portfolio_share_pct,Baseline portfolio share,portfolio_share,pct,0.0,True,0.0%
high_supply_case,2,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,best_case_score_index,Best-case score index,score,index,0.078,True,0.078
high_supply_case,2,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,score_gap_to_scenario_best_pct,Score gap to scenario best,score_gap,pct,94.0,True,94.0%
high_supply_case,2,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,max_stress_selection_rate,Max stress selection rate,stress_support,pct,,False,not available
high_supply_case,2,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,best_case_energy_pj_per_year,Best-case energy,energy,PJ/year,0.87,True,0.87
high_supply_case,2,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,best_case_environment_ktco2e_per_year,Best-case environment,environment,ktCO2e/year,0.0,True,0.0
high_supply_case,2,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,baseline_portfolio_share_pct,Baseline portfolio share,portfolio_share,pct,0.0,True,0.0%
high_supply_case,2,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,best_case_score_index,Best-case score index,score,index,0.016,True,0.016
high_supply_case,2,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,score_gap_to_scenario_best_pct,Score gap to scenario best,score_gap,pct,98.7,True,98.7%
high_supply_case,2,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,max_stress_selection_rate,Max stress selection rate,stress_support,pct,,False,not available
policy_support_case,3,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,best_case_energy_pj_per_year,Best-case energy,energy,PJ/year,14.75,True,14.75
policy_support_case,3,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,best_case_environment_ktco2e_per_year,Best-case environment,environment,ktCO2e/year,274.1,True,274.1
policy_support_case,3,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,baseline_portfolio_share_pct,Baseline portfolio share,portfolio_share,pct,100.0,True,100.0%
policy_support_case,3,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,best_case_score_index,Best-case score index,score,index,1.292,True,1.292
policy_support_case,3,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,score_gap_to_scenario_best_pct,Score gap to scenario best,score_gap,pct,0.0,True,0.0%
policy_support_case,3,htc,1,1,dominant portfolio,True,selected,planning-ready candidate with cross-study caution,planning_ready,max_stress_selection_rate,Max stress selection rate,stress_support,pct,87.5,True,87.5%
policy_support_case,3,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,best_case_energy_pj_per_year,Best-case energy,energy,PJ/year,9.65,True,9.65
policy_support_case,3,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,best_case_environment_ktco2e_per_year,Best-case environment,environment,ktCO2e/year,257.8,True,257.8
policy_support_case,3,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,baseline_portfolio_share_pct,Baseline portfolio share,portfolio_share,pct,0.0,True,0.0%
policy_support_case,3,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,best_case_score_index,Best-case score index,score,index,0.813,True,0.813
policy_support_case,3,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,score_gap_to_scenario_best_pct,Score gap to scenario best,score_gap,pct,37.1,True,37.1%
policy_support_case,3,pyrolysis,2,2,stress-sensitive alternative,False,not_selected,planning-ready candidate with blended-feed caution,planning_ready,max_stress_selection_rate,Max stress selection rate,stress_support,pct,12.5,True,12.5%
policy_support_case,3,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,best_case_energy_pj_per_year,Best-case energy,energy,PJ/year,1.5,True,1.50
policy_support_case,3,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,best_case_environment_ktco2e_per_year,Best-case environment,environment,ktCO2e/year,349.3,True,349.3
policy_support_case,3,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,baseline_portfolio_share_pct,Baseline portfolio share,portfolio_share,pct,0.0,True,0.0%
policy_support_case,3,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,best_case_score_index,Best-case score index,score,index,0.081,True,0.081
policy_support_case,3,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,score_gap_to_scenario_best_pct,Score gap to scenario best,score_gap,pct,93.7,True,93.7%
policy_support_case,3,ad,3,3,comparison only,False,not_selected,planning comparison only,comparison_only,max_stress_selection_rate,Max stress selection rate,stress_support,pct,,False,not available
policy_support_case,3,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,best_case_energy_pj_per_year,Best-case energy,energy,PJ/year,0.79,True,0.79
policy_support_case,3,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,best_case_environment_ktco2e_per_year,Best-case environment,environment,ktCO2e/year,0.0,True,0.0
policy_support_case,3,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,baseline_portfolio_share_pct,Baseline portfolio share,portfolio_share,pct,0.0,True,0.0%
policy_support_case,3,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,best_case_score_index,Best-case score index,score,index,0.013,True,0.013
policy_support_case,3,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,score_gap_to_scenario_best_pct,Score gap to scenario best,score_gap,pct,99.0,True,99.0%
policy_support_case,3,baseline,4,4,comparison anchor,False,not_selected,comparison anchor only,anchor_only,max_stress_selection_rate,Max stress selection rate,stress_support,pct,,False,not available
