,Unnamed: 0,region,GCAM_region_ID,GCAM_commodity,GCAM_subsector,GLU,Irr_Rfd,kg_bio_ha,kg_P_ha,cat,Version
17,18,USA,1,Corn,CornC4,GLU231,rfd,804.4108348376387,30.0819172430797,GLU231_CornC4_USA,Lower CI
17,18,USA,1,Corn,CornC4,GLU231,rfd,1789.06050281482,30.0819172430797,GLU231_CornC4_USA,Median
17,18,USA,1,Corn,CornC4,GLU231,rfd,2904.096723504441,30.0819172430797,GLU231_CornC4_USA,Upper CI
18,19,USA,1,Corn,CornC4,GLU232,rfd,804.4108348376387,30.0819172430797,GLU232_CornC4_USA,Lower CI
18,19,USA,1,Corn,CornC4,GLU232,rfd,1789.06050281482,30.0819172430797,GLU232_CornC4_USA,Median
18,19,USA,1,Corn,CornC4,GLU232,rfd,2904.096723504441,30.0819172430797,GLU232_CornC4_USA,Upper CI
19,20,USA,1,Corn,CornC4,GLU233,rfd,804.4108348376387,30.0819172430797,GLU233_CornC4_USA,Lower CI
19,20,USA,1,Corn,CornC4,GLU233,rfd,1789.06050281482,30.0819172430797,GLU233_CornC4_USA,Median
19,20,USA,1,Corn,CornC4,GLU233,rfd,2904.096723504441,30.0819172430797,GLU233_CornC4_USA,Upper CI
20,21,USA,1,FiberCrop,FiberCrop,GLU096,rfd,1434.3965455697378,53.6409957559779,GLU096_FiberCrop_USA,Lower CI
20,21,USA,1,FiberCrop,FiberCrop,GLU096,rfd,3190.18851302618,53.6409957559779,GLU096_FiberCrop_USA,Median
20,21,USA,1,FiberCrop,FiberCrop,GLU096,rfd,5178.481104168569,53.6409957559779,GLU096_FiberCrop_USA,Upper CI
21,22,USA,1,FiberCrop,FiberCrop,GLU217,rfd,1434.3965455697378,53.6409957559779,GLU217_FiberCrop_USA,Lower CI
21,22,USA,1,FiberCrop,FiberCrop,GLU217,rfd,3190.18851302618,53.6409957559779,GLU217_FiberCrop_USA,Median
21,22,USA,1,FiberCrop,FiberCrop,GLU217,rfd,5178.481104168569,53.6409957559779,GLU217_FiberCrop_USA,Upper CI
22,23,USA,1,FiberCrop,FiberCrop,GLU218,rfd,1434.3965455697426,53.6409957559779,GLU218_FiberCrop_USA,Lower CI
22,23,USA,1,FiberCrop,FiberCrop,GLU218,rfd,3190.18851302619,53.6409957559779,GLU218_FiberCrop_USA,Median
22,23,USA,1,FiberCrop,FiberCrop,GLU218,rfd,5178.48110416857,53.6409957559779,GLU218_FiberCrop_USA,Upper CI
23,24,USA,1,FiberCrop,FiberCrop,GLU219,rfd,1434.3965455697378,53.6409957559779,GLU219_FiberCrop_USA,Lower CI
23,24,USA,1,FiberCrop,FiberCrop,GLU219,rfd,3190.18851302618,53.6409957559779,GLU219_FiberCrop_USA,Median
23,24,USA,1,FiberCrop,FiberCrop,GLU219,rfd,5178.481104168569,53.6409957559779,GLU219_FiberCrop_USA,Upper CI
24,25,USA,1,FiberCrop,FiberCrop,GLU221,rfd,1434.3965455697378,53.6409957559779,GLU221_FiberCrop_USA,Lower CI
24,25,USA,1,FiberCrop,FiberCrop,GLU221,rfd,3190.18851302618,53.6409957559779,GLU221_FiberCrop_USA,Median
24,25,USA,1,FiberCrop,FiberCrop,GLU221,rfd,5178.481104168569,53.6409957559779,GLU221_FiberCrop_USA,Upper CI
25,26,USA,1,FiberCrop,FiberCrop,GLU223,rfd,1434.3965455697378,53.6409957559779,GLU223_FiberCrop_USA,Lower CI
25,26,USA,1,FiberCrop,FiberCrop,GLU223,rfd,3190.18851302618,53.6409957559779,GLU223_FiberCrop_USA,Median
25,26,USA,1,FiberCrop,FiberCrop,GLU223,rfd,5178.481104168569,53.6409957559779,GLU223_FiberCrop_USA,Upper CI
26,27,USA,1,FiberCrop,FiberCrop,GLU224,rfd,1434.3965455697378,53.6409957559779,GLU224_FiberCrop_USA,Lower CI
26,27,USA,1,FiberCrop,FiberCrop,GLU224,rfd,3190.18851302618,53.6409957559779,GLU224_FiberCrop_USA,Median
26,27,USA,1,FiberCrop,FiberCrop,GLU224,rfd,5178.481104168569,53.6409957559779,GLU224_FiberCrop_USA,Upper CI
27,28,USA,1,FiberCrop,FiberCrop,GLU225,rfd,1434.3965455697426,53.6409957559779,GLU225_FiberCrop_USA,Lower CI
27,28,USA,1,FiberCrop,FiberCrop,GLU225,rfd,3190.18851302619,53.6409957559779,GLU225_FiberCrop_USA,Median
27,28,USA,1,FiberCrop,FiberCrop,GLU225,rfd,5178.48110416857,53.6409957559779,GLU225_FiberCrop_USA,Upper CI
28,29,USA,1,FiberCrop,FiberCrop,GLU226,rfd,1434.3965455697426,53.6409957559779,GLU226_FiberCrop_USA,Lower CI
28,29,USA,1,FiberCrop,FiberCrop,GLU226,rfd,3190.18851302619,53.6409957559779,GLU226_FiberCrop_USA,Median
28,29,USA,1,FiberCrop,FiberCrop,GLU226,rfd,5178.48110416857,53.6409957559779,GLU226_FiberCrop_USA,Upper CI
29,30,USA,1,FiberCrop,FiberCrop,GLU228,rfd,1434.3965455697426,53.6409957559779,GLU228_FiberCrop_USA,Lower CI
29,30,USA,1,FiberCrop,FiberCrop,GLU228,rfd,3190.18851302619,53.6409957559779,GLU228_FiberCrop_USA,Median
29,30,USA,1,FiberCrop,FiberCrop,GLU228,rfd,5178.48110416857,53.6409957559779,GLU228_FiberCrop_USA,Upper CI
30,31,USA,1,FiberCrop,FiberCrop,GLU230,rfd,1434.3965455697426,53.6409957559779,GLU230_FiberCrop_USA,Lower CI
30,31,USA,1,FiberCrop,FiberCrop,GLU230,rfd,3190.18851302619,53.6409957559779,GLU230_FiberCrop_USA,Median
30,31,USA,1,FiberCrop,FiberCrop,GLU230,rfd,5178.48110416857,53.6409957559779,GLU230_FiberCrop_USA,Upper CI
31,32,USA,1,FiberCrop,FiberCrop,GLU231,rfd,1434.3965455697378,53.6409957559779,GLU231_FiberCrop_USA,Lower CI
31,32,USA,1,FiberCrop,FiberCrop,GLU231,rfd,3190.18851302618,53.6409957559779,GLU231_FiberCrop_USA,Median
31,32,USA,1,FiberCrop,FiberCrop,GLU231,rfd,5178.481104168569,53.6409957559779,GLU231_FiberCrop_USA,Upper CI
32,33,USA,1,FiberCrop,FiberCrop,GLU233,rfd,1434.3965455697378,53.6409957559779,GLU233_FiberCrop_USA,Lower CI
32,33,USA,1,FiberCrop,FiberCrop,GLU233,rfd,3190.18851302618,53.6409957559779,GLU233_FiberCrop_USA,Median
32,33,USA,1,FiberCrop,FiberCrop,GLU233,rfd,5178.481104168569,53.6409957559779,GLU233_FiberCrop_USA,Upper CI
33,34,USA,1,FodderGrass,FodderGrass,GLU023,rfd,0.0,,GLU023_FodderGrass_USA,Lower CI
33,34,USA,1,FodderGrass,FodderGrass,GLU023,rfd,0.0,,GLU023_FodderGrass_USA,Median
