,MGMT,Version,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,Units
0,Biochar Application,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,339.9636685209078,470.25763175985924,511.59489344164103,530.5347185408061,539.3733009695275,thous km2
1,Biochar Application,Median,0.0,0.0,0.0,0.0,0.0,,,,470.79116349986515,556.4589613273645,583.4381453930314,605.1505293935843,616.6259586252063,thous km2
2,Biochar Application,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,551.9440263272348,625.8567597478863,640.6857982668951,664.7951573768155,675.0912596817959,thous km2
21,High Intensity,Lower CI,5462.332957269194,5533.003556713918,5709.806829582252,6015.159514987074,6436.815431905072,,,,8285.46235588423,8714.929471666512,9306.28056789816,9675.218345426649,9752.066452285282,thous km2
22,High Intensity,Median,5462.332957269194,5533.003556713918,5709.806829582252,6015.159514987074,6436.815431905072,,,,8345.972164499071,8810.304619150182,9352.378592286606,9720.19712421734,9797.917032253845,thous km2
23,High Intensity,Upper CI,5462.332957269194,5533.003556713918,5709.806829582252,6015.159514987074,6436.815431905072,,,,8466.827552858938,9047.405845890358,9447.739726918964,9799.619296691006,9868.838753710144,thous km2
42,Low Intensity,Lower CI,5462.332930269182,5533.003552314002,5709.806826982276,6015.159511087178,6078.763182533125,,,,6363.248687845243,6442.790897054107,6565.205973419832,6555.170831721587,6528.044677628025,thous km2
43,Low Intensity,Median,5462.332930269182,5533.003552314002,5709.806826982276,6015.159511087178,6078.763182533125,,,,6393.11171222748,6476.965792554691,6590.376727921357,6581.1346725788235,6552.2684132247605,thous km2
44,Low Intensity,Upper CI,5462.332930269182,5533.003552314002,5709.806826982276,6015.159511087178,6078.763182533125,,,,6445.106965946802,6520.742473278582,6615.889528861411,6604.453788039435,6576.118031287596,
