,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,Units
0,93.61688844,110.78609933,122.3596649,130.8722717,143.369419031,,,,-5.137436755837069,-7.335689432650623,-6.5938228559493925,-6.353536886619238,-6.2532905375816545,SSP1,Lower CI,Mt NH3
1,93.61688844,110.78609933,122.3596649,130.8722717,143.369419031,,,,-4.712618202300007,-5.923655135050012,-6.1414694474200076,-5.949156164412017,-5.8197746347229895,SSP1,Median,Mt NH3
2,93.61688844,110.78609933,122.3596649,130.8722717,143.369419031,,,,-3.015412049674049,-2.4232426631199737,-4.787145510054437,-4.893279613464791,-4.9884447872731785,SSP1,Upper CI,Mt NH3
