,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,input,cat
0,393.595412,497.8182174,486.68747,492.910774,525.3398099999999,,,,-0.30123507305406244,-0.9262325867539416,-0.3110641594263247,-0.2421111696481736,-0.24689381399253685,SSP1,Lower CI,USA,Non-Staples,USANon-Staples
1,393.595412,497.8182174,486.68747,492.910774,525.3398099999999,,,,-0.26282176128600554,-0.3165545613959466,-0.1705292266420031,-0.135151070387991,-0.1456116723500145,SSP1,Median,USA,Non-Staples,USANon-Staples
2,393.595412,497.8182174,486.68747,492.910774,525.3398099999999,,,,0.2313673197753638,0.37428223456529935,-0.04293618581538586,-0.0004207718611601574,-0.04250983466081247,SSP1,Upper CI,USA,Non-Staples,USANon-Staples
21,222.6528,267.41264,253.14864,249.95206,259.27668,,,,0.0032235514299567766,-0.028167880623181978,-0.0013453801481758572,0.011579580599129087,0.012365317980910579,SSP1,Lower CI,USA,Staples,USAStaples
22,222.6528,267.41264,253.14864,249.95206,259.27668,,,,0.02121162751999961,0.011047538299999715,0.01424857496000076,0.02323974660000072,0.02034913837999941,SSP1,Median,USA,Staples,USAStaples
23,222.6528,267.41264,253.14864,249.95206,259.27668,,,,0.07839899970781844,0.08836757349377011,0.03426596257484356,0.032942386728491174,0.027707874841945607,SSP1,Upper CI,USA,Staples,USAStaples
42,68.399932,115.81066799999999,151.140532,163.566426,199.655226,,,,-0.25168482084849936,-0.9043405606239334,-0.5840131731256217,-0.6481263095063359,-0.7896959394285421,SSP1,Lower CI,Eastern Africa,Non-Staples,Eastern AfricaNon-Staples
43,68.399932,115.81066799999999,151.140532,163.566426,199.655226,,,,-0.1486114726799883,-0.4004111903100096,-0.47226760109400345,-0.5515157087999967,-0.6626009588700157,SSP1,Median,Eastern Africa,Non-Staples,Eastern AfricaNon-Staples
44,68.399932,115.81066799999999,151.140532,163.566426,199.655226,,,,-0.03724879703547368,-0.051152827055842065,-0.3300446176477307,-0.39224605464145407,-0.49382844089150346,SSP1,Upper CI,Eastern Africa,Non-Staples,Eastern AfricaNon-Staples
63,134.5848,211.7554,247.8582,298.02459999999996,323.6172,,,,0.19591912583480076,0.048904726699946416,0.073884346443741,0.08891938790496658,0.08964434461950807,SSP1,Lower CI,Eastern Africa,Staples,Eastern AfricaStaples
64,134.5848,211.7554,247.8582,298.02459999999996,323.6172,,,,0.21284943214000052,0.1168972738599976,0.08878248258000276,0.09550386991999993,0.09460363758000057,SSP1,Median,Eastern Africa,Staples,Eastern AfricaStaples
65,134.5848,211.7554,247.8582,298.02459999999996,323.6172,,,,0.2320000422274216,0.17825764208828604,0.11389566104007223,0.11124289859788926,0.10568804530239817,SSP1,Upper CI,Eastern Africa,Staples,Eastern AfricaStaples
84,61.3526848,102.5545752,133.4121022,161.484488,187.31054424,,,,-0.010552630566461718,-0.7094289236227628,-0.189897534503412,-0.14757470295551783,-0.16784935977256563,SSP1,Lower CI,Northern Africa,Non-Staples,Northern AfricaNon-Staples
85,61.3526848,102.5545752,133.4121022,161.484488,187.31054424,,,,0.06923438385577185,-0.1231033932456711,-0.11454230505864871,-0.09545555631927982,-0.11952578980059059,SSP1,Median,Northern Africa,Non-Staples,Northern AfricaNon-Staples
86,61.3526848,102.5545752,133.4121022,161.484488,187.31054424,,,,0.14741168305170158,0.22886573419831438,-0.03767185413725613,-0.026625177879742654,-0.06906849740712925,SSP1,Upper CI,Northern Africa,Non-Staples,Northern AfricaNon-Staples
105,196.17172,257.85462,265.95816,277.69158,289.08008,,,,0.12744443590202673,-0.06485852016547917,0.06700568326826409,0.08613371295397042,0.07970136607861482,SSP1,Lower CI,Northern Africa,Staples,Northern AfricaStaples
106,196.17172,257.85462,265.95816,277.69158,289.08008,,,,0.14697414460000147,0.07760600601599776,0.09122126246399986,0.09883629698000185,0.0879894053919994,SSP1,Median,Northern Africa,Staples,Northern AfricaStaples
107,196.17172,257.85462,265.95816,277.69158,289.08008,,,,0.18433755309130836,0.18941007655841885,0.12002463645154535,0.11230074235536656,0.09744821422843382,SSP1,Upper CI,Northern Africa,Staples,Northern AfricaStaples
126,26.7609422,46.848942,69.58591200000001,94.001554,115.81227200000001,,,,-0.12540455378895718,-0.225317242360154,-0.2583732671940604,-0.24673894192314283,-0.2672053209539744,SSP1,Lower CI,Southern Africa,Non-Staples,Southern AfricaNon-Staples
127,26.7609422,46.848942,69.58591200000001,94.001554,115.81227200000001,,,,-0.10207971920601011,-0.1375618852479903,-0.1888391473519917,-0.2041297774060027,-0.22546243336199723,SSP1,Median,Southern Africa,Non-Staples,Southern AfricaNon-Staples
128,26.7609422,46.848942,69.58591200000001,94.001554,115.81227200000001,,,,-0.016340491085723226,-0.033010675691597255,-0.13395138169430437,-0.15125344692981812,-0.1731044989962978,SSP1,Upper CI,Southern Africa,Non-Staples,Southern AfricaNon-Staples
147,90.04428,132.95054,151.85102,166.79462,179.3016,,,,0.031194232270886323,-0.004868289359358215,-0.02366512845899383,-0.0015263720652662948,0.003821126048000994,SSP1,Lower CI,Southern Africa,Staples,Southern AfricaStaples
