,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,input,Units,cat
0,393.595412,497.8182174,486.68747,492.910774,525.3398099999999,,,,-0.16924302914042472,-0.5018850323404914,-0.1635516306942203,-0.12347719109782515,-0.12241210692680998,SSP1,Lower CI,USA,Non-Staples,%,USANon-Staples
1,393.595412,497.8182174,486.68747,492.910774,525.3398099999999,,,,-0.14766126186137118,-0.1715271072901049,-0.0896610305403239,-0.06892732198032844,-0.0721955374954854,SSP1,Median,USA,Non-Staples,%,USANon-Staples
2,393.595412,497.8182174,486.68747,492.910774,525.3398099999999,,,,0.1299891996170589,0.20280721504044755,-0.0225750315267665,-0.00021459450873149294,-0.02107674688883738,SSP1,Upper CI,USA,Non-Staples,%,USANon-Staples
21,222.6528,267.41264,253.14864,249.95206,259.27668,,,,0.046180357165423236,-0.393342189593084,-0.018395053934201266,0.1546823830063623,0.1618910954206988,SSP1,Lower CI,USA,Staples,%,USAStaples
22,222.6528,267.41264,253.14864,249.95206,259.27668,,,,0.30387619252181014,0.15427014061395375,0.19481728285503458,0.310441242131212,0.2664180822758669,SSP1,Median,USA,Staples,%,USAStaples
23,222.6528,267.41264,253.14864,249.95206,259.27668,,,,1.1231382177660838,1.2339833199399868,0.4685101311522996,0.44005107416959677,0.36276125020538097,SSP1,Upper CI,USA,Staples,%,USAStaples
42,68.399932,115.81066799999999,151.140532,163.566426,199.655226,,,,-0.26741901009919455,-0.8727126781777537,-0.5238035424282724,-0.5437953496710429,-0.6289541345050241,SSP1,Lower CI,Eastern Africa,Non-Staples,%,Eastern AfricaNon-Staples
43,68.399932,115.81066799999999,151.140532,163.566426,199.655226,,,,-0.15790198542560585,-0.38640744149161926,-0.42357853180467664,-0.46273646558863446,-0.5277292079149664,SSP1,Median,Eastern Africa,Non-Staples,%,Eastern AfricaNon-Staples
44,68.399932,115.81066799999999,151.140532,163.566426,199.655226,,,,-0.039577422257849174,-0.04936383773991915,-0.296018219859708,-0.32910495579681653,-0.3933101642382019,SSP1,Upper CI,Eastern Africa,Non-Staples,%,Eastern AfricaNon-Staples
63,134.5848,211.7554,247.8582,298.02459999999996,323.6172,,,,1.5315066172720644,0.3849256273795094,0.5873830475415214,0.7049139176199257,0.7097502891955542,SSP1,Lower CI,Eastern Africa,Staples,%,Eastern AfricaStaples
64,134.5848,211.7554,247.8582,298.02459999999996,323.6172,,,,1.6638514101980988,0.920090132710285,0.7058237325798502,0.7571128038479297,0.7490150038616596,SSP1,Median,Eastern Africa,Staples,%,Eastern AfricaStaples
65,134.5848,211.7554,247.8582,298.02459999999996,323.6172,,,,1.8135523949728727,1.403053229128888,0.9054743488110142,0.8818849219007534,0.8367747127415114,SSP1,Upper CI,Eastern Africa,Staples,%,Eastern AfricaStaples
84,61.3526848,102.5545752,133.4121022,161.484488,187.31054424,,,,-0.01261501457432819,-0.8060935256710791,-0.20901730583502337,-0.15868425752191223,-0.1784453445828708,SSP1,Lower CI,Northern Africa,Non-Staples,%,Northern AfricaNon-Staples
85,61.3526848,102.5545752,133.4121022,161.484488,187.31054424,,,,0.08276540677553944,-0.139877082790387,-0.12607495968865226,-0.1026415352869232,-0.12707120704187688,SSP1,Median,Northern Africa,Non-Staples,%,Northern AfricaNon-Staples
86,61.3526848,102.5545752,133.4121022,161.484488,187.31054424,,,,0.17622151352797588,0.26005027486491367,-0.04146483248542533,-0.028629544892320113,-0.07342864957207164,SSP1,Upper CI,Northern Africa,Non-Staples,%,Northern AfricaNon-Staples
105,196.17172,257.85462,265.95816,277.69158,289.08008,,,,1.563354960716517,-0.7942798766937286,0.826721437285748,1.069587281182233,1.0042160463682877,SSP1,Lower CI,Northern Africa,Staples,%,Northern AfricaStaples
106,196.17172,257.85462,265.95816,277.69158,289.08008,,,,1.802924987907023,0.9503899985970953,1.1254951749887914,1.227324848116708,1.108643140669563,SSP1,Median,Northern Africa,Staples,%,Northern AfricaStaples
107,196.17172,257.85462,265.95816,277.69158,289.08008,,,,2.261260180030019,2.3195813267019987,1.4808734888898267,1.394523022069329,1.227821620041026,SSP1,Upper CI,Northern Africa,Staples,%,Northern AfricaStaples
126,26.7609422,46.848942,69.58591200000001,94.001554,115.81227200000001,,,,-0.29385020827542496,-0.48050182347913767,-0.5122985313109053,-0.45876144982370193,-0.4725217709505759,SSP1,Lower CI,Southern Africa,Non-Staples,%,Southern AfricaNon-Staples
127,26.7609422,46.848942,69.58591200000001,94.001554,115.81227200000001,,,,-0.23919503593038072,-0.29335853754695335,-0.37442735037200064,-0.3795382759813309,-0.39870429194554746,SSP1,Median,Southern Africa,Non-Staples,%,Southern AfricaNon-Staples
128,26.7609422,46.848942,69.58591200000001,94.001554,115.81227200000001,,,,-0.038289332913246404,-0.07039714181632456,-0.2655967347330744,-0.2812253714939327,-0.3061153278430857,SSP1,Upper CI,Southern Africa,Non-Staples,%,Southern AfricaNon-Staples
147,90.04428,132.95054,151.85102,166.79462,179.3016,,,,0.35694012461276114,-0.055018766647616735,-0.26592234773207307,-0.01694135876258867,0.04202877338120337,SSP1,Lower CI,Southern Africa,Staples,%,Southern AfricaStaples
148,90.04428,132.95054,151.85102,166.79462,179.3016,,,,0.4583939670286102,0.08108580814640609,0.016927314327409133,0.06337837169686505,0.07349494843017301,SSP1,Median,Southern Africa,Staples,%,Southern AfricaStaples
149,90.04428,132.95054,151.85102,166.79462,179.3016,,,,0.5621509957437254,0.4294701285868101,0.21375874935512895,0.12803838966384468,0.12650486425800664,SSP1,Upper CI,Southern Africa,Staples,%,Southern AfricaStaples
168,93.55788,162.34953,226.33704,280.17826,346.76864,,,,-0.3894543942518306,-2.9399939191674687,-0.47826199195611613,-0.4508259418260602,-0.4978590759642676,SSP1,Lower CI,Western Africa,Non-Staples,%,Western AfricaNon-Staples
169,93.55788,162.34953,226.33704,280.17826,346.76864,,,,-0.30547172174066123,-0.3344821595358207,-0.34726778433037736,-0.3800790646110217,-0.423795519829976,SSP1,Median,Western Africa,Non-Staples,%,Western AfricaNon-Staples
170,93.55788,162.34953,226.33704,280.17826,346.76864,,,,-0.07830015319373013,0.5070474747679898,-0.26046104720483126,-0.17668740378576306,-0.301446711013618,SSP1,Upper CI,Western Africa,Non-Staples,%,Western AfricaNon-Staples
189,271.37935999999996,422.9282,507.07759999999996,588.3718,638.9058,,,,0.2727994880638303,-2.7782217207925686,-0.19414058828523384,0.025608318517530912,0.0397294068212274,SSP1,Lower CI,Western Africa,Staples,%,Western AfricaStaples
190,271.37935999999996,422.9282,507.07759999999996,588.3718,638.9058,,,,0.3629585955398759,0.03320225329499091,0.04505484822108105,0.0784161806548538,0.08170366753817569,SSP1,Median,Western Africa,Staples,%,Western AfricaStaples
191,271.37935999999996,422.9282,507.07759999999996,588.3718,638.9058,,,,0.43225725207681415,0.9588973348817712,0.21476264401756423,0.26455358486289887,0.19137079412243774,SSP1,Upper CI,Western Africa,Staples,%,Western AfricaStaples
210,27.311495999999998,31.954646,39.896912,45.217942,49.512072,,,,-0.17351786198695046,-0.4240245734801056,-0.295153520423884,-0.22684410547855177,-0.23836197198990453,SSP1,Lower CI,Australia and New Zealand,Non-Staples,%,Australia and New ZealandNon-Staples
211,27.311495999999998,31.954646,39.896912,45.217942,49.512072,,,,-0.10341890713635617,-0.191207952449816,-0.18493709484654086,-0.17707060562085433,-0.19207244886830363,SSP1,Median,Australia and New Zealand,Non-Staples,%,Australia and New ZealandNon-Staples
212,27.311495999999998,31.954646,39.896912,45.217942,49.512072,,,,-0.00783322208702282,0.01828884892578045,-0.14465630025048132,-0.1258782139395705,-0.14647730463552786,SSP1,Upper CI,Australia and New Zealand,Non-Staples,%,Australia and New ZealandNon-Staples
231,13.526174,17.579998000000003,17.648928,20.257906,21.667226,,,,0.13217189951050667,-0.5152139753612106,-0.505613032931789,-0.10664906736060938,-0.0886826810245485,SSP1,Lower CI,Australia and New Zealand,Staples,%,Australia and New ZealandStaples
232,13.526174,17.579998000000003,17.648928,20.257906,21.667226,,,,0.8606504647604855,-0.16293420694868327,-0.10722030142789907,0.01545899024796944,-0.007180050632796524,SSP1,Median,Australia and New Zealand,Staples,%,Australia and New ZealandStaples
233,13.526174,17.579998000000003,17.648928,20.257906,21.667226,,,,0.9567410029674112,0.8239521137770416,0.1852778022512237,0.12397659559896547,0.08789660146076446,SSP1,Upper CI,Australia and New Zealand,Staples,%,Australia and New ZealandStaples
252,131.157228,210.196242,262.178318,303.763106,331.70480399999997,,,,-0.4878006315018744,-0.6147413347034693,-0.49876194105033395,-0.46962551450081125,-0.4784357184141756,SSP1,Lower CI,Brazil,Non-Staples,%,BrazilNon-Staples
253,131.157228,210.196242,262.178318,303.763106,331.70480399999997,,,,-0.46494508654699773,-0.40666867553681063,-0.4154261317053756,-0.4154408898005273,-0.4095485643691131,SSP1,Median,Brazil,Non-Staples,%,BrazilNon-Staples
254,131.157228,210.196242,262.178318,303.763106,331.70480399999997,,,,-0.21126271539880975,-0.14257240481109376,-0.32347537492132444,-0.2949116876635197,-0.31828972583529097,SSP1,Upper CI,Brazil,Non-Staples,%,BrazilNon-Staples
273,137.025152,179.39366,175.61504,171.58442,174.25060000000002,,,,1.1055844593527255,0.8487198610267526,1.2117358551011181,1.3192492327538026,1.2887089732112427,SSP1,Lower CI,Brazil,Staples,%,BrazilStaples
274,137.025152,179.39366,175.61504,171.58442,174.25060000000002,,,,1.508444155245571,1.4310908605321926,1.3647099221584966,1.413633872196918,1.3690277265617063,SSP1,Median,Brazil,Staples,%,BrazilStaples
275,137.025152,179.39366,175.61504,171.58442,174.25060000000002,,,,1.9422232039158507,1.8542245315768184,1.4832959305129243,1.508625469477309,1.4482702631335769,SSP1,Upper CI,Brazil,Staples,%,BrazilStaples
294,41.221137,50.167593399999994,49.626433,53.533206,57.44877654,,,,-0.41371385431426416,-0.8896829041428371,-0.4215020520451178,-0.3604832769671351,-0.35852818532545333,SSP1,Lower CI,Canada,Non-Staples,%,CanadaNon-Staples
295,41.221137,50.167593399999994,49.626433,53.533206,57.44877654,,,,-0.30532187190659477,-0.40630535000716583,-0.3290244584052353,-0.30764812808234904,-0.3103225180793031,SSP1,Median,Canada,Non-Staples,%,CanadaNon-Staples
296,41.221137,50.167593399999994,49.626433,53.533206,57.44877654,,,,-0.11510220940350707,0.04105135120402881,-0.260670849398142,-0.23667189986299267,-0.2541936704587909,SSP1,Upper CI,Canada,Non-Staples,%,CanadaNon-Staples
315,20.351208,30.936848,30.627222,28.473959999999998,29.9752,,,,0.6783695402178619,-0.8100912706287893,-0.08272630266089193,0.21812856616701945,0.2427865333649784,SSP1,Lower CI,Canada,Staples,%,CanadaStaples
316,20.351208,30.936848,30.627222,28.473959999999998,29.9752,,,,1.302836490343278,0.25353675379161517,0.19328863198711252,0.34373018860229415,0.32319958427439216,SSP1,Median,Canada,Staples,%,CanadaStaples
317,20.351208,30.936848,30.627222,28.473959999999998,29.9752,,,,1.6031957510942232,1.4387831442739645,0.5099980901281738,0.48115387957858646,0.4241495121872592,SSP1,Upper CI,Canada,Staples,%,CanadaStaples
336,35.2653828,55.5889362,73.844025,87.9514174,97.226772,,,,-0.15029788823332096,-1.4509953925648604,-0.5032865036479764,-0.22207916455370924,-0.2404090249096221,SSP1,Lower CI,Central America and Caribbean,Non-Staples,%,Central America and CaribbeanNon-Staples
337,35.2653828,55.5889362,73.844025,87.9514174,97.226772,,,,-0.09310592036475401,-0.21623581316722534,-0.17897123259979003,-0.17361529102016746,-0.1859256536922998,SSP1,Median,Central America and Caribbean,Non-Staples,%,Central America and CaribbeanNon-Staples
338,35.2653828,55.5889362,73.844025,87.9514174,97.226772,,,,0.0641699203862363,0.2601785437289843,-0.039043782099835916,-0.07579031832461482,-0.10151109202445771,SSP1,Upper CI,Central America and Caribbean,Non-Staples,%,Central America and CaribbeanNon-Staples
357,49.884164,61.431742,70.09242,76.2433,77.83632,,,,2.1210040818164932,-7.965187992190441,-2.5264827620231673,1.5259823155497618,1.542180798583202,SSP1,Lower CI,Central America and Caribbean,Staples,%,Central America and CaribbeanStaples
358,49.884164,61.431742,70.09242,76.2433,77.83632,,,,2.540515698500988,1.5659958520926978,1.61750748578084,1.6855618589967807,1.6338038939886865,SSP1,Median,Central America and Caribbean,Staples,%,Central America and CaribbeanStaples
359,49.884164,61.431742,70.09242,76.2433,77.83632,,,,2.6627575446467384,4.68542074026439,3.0211303494327386,1.8082944798241223,1.8611907993902173,SSP1,Upper CI,Central America and Caribbean,Staples,%,Central America and CaribbeanStaples
378,49.01606,49.9461292,69.7758118,92.063128,104.523508,,,,-0.47508809762496734,-1.8634483292831505,-1.009144345745866,-0.6947099733608351,-0.6958489081875602,SSP1,Lower CI,Central Asia,Non-Staples,%,Central AsiaNon-Staples
379,49.01606,49.9461292,69.7758118,92.063128,104.523508,,,,-0.42328060187339095,-0.6210934234358018,-0.6439248670194562,-0.6444589866532058,-0.656824532660217,SSP1,Median,Central Asia,Non-Staples,%,Central AsiaNon-Staples
380,49.01606,49.9461292,69.7758118,92.063128,104.523508,,,,-0.3396304640066003,-0.3445631730552541,-0.573643688589959,-0.5939848351555963,-0.6082946391399943,SSP1,Upper CI,Central Asia,Non-Staples,%,Central AsiaNon-Staples
399,95.68104,99.35616,97.6679,96.86576000000001,97.79574,,,,0.3468897768221136,-6.885884112433828,-2.1860251688134653,-0.304388831121056,-0.23388713746547554,SSP1,Lower CI,Central Asia,Staples,%,Central AsiaStaples
400,95.68104,99.35616,97.6679,96.86576000000001,97.79574,,,,0.7426296842302179,-0.39337249363065535,-0.25859216299398735,-0.1327874718984868,-0.1544152385916961,SSP1,Median,Central Asia,Staples,%,Central AsiaStaples
401,95.68104,99.35616,97.6679,96.86576000000001,97.79574,,,,0.9036014934143075,1.7836215931017065,0.29102680861809205,0.05832546113085492,0.05674905068339617,SSP1,Upper CI,Central Asia,Staples,%,Central AsiaStaples
420,479.929748,1076.3062340000001,1336.86044,1541.1608999999999,1775.15786,,,,-0.11186098408372129,-0.27025038625870357,-0.09922285575603716,-0.10592981297897286,-0.09548892319191166,SSP1,Lower CI,China,Non-Staples,%,ChinaNon-Staples
421,479.929748,1076.3062340000001,1336.86044,1541.1608999999999,1775.15786,,,,-0.05489633343867712,-0.0985154370319905,-0.058160065270264176,-0.07008520452006667,-0.046367288951245644,SSP1,Median,China,Non-Staples,%,ChinaNon-Staples
422,479.929748,1076.3062340000001,1336.86044,1541.1608999999999,1775.15786,,,,0.08704213143181026,0.1786440219609851,0.035674049254433834,0.017633070120846243,0.004745008466587673,SSP1,Upper CI,China,Non-Staples,%,ChinaNon-Staples
441,1567.4292,1657.6644000000001,1692.5233999999998,1773.4756,1748.525,,,,1.971317708692705,1.943894311546377,2.2200842231743487,2.0835133839524302,2.032413043177353,SSP1,Lower CI,China,Staples,%,ChinaStaples
442,1567.4292,1657.6644000000001,1692.5233999999998,1773.4756,1748.525,,,,2.0977564770880917,2.4236930254479963,2.3252744823437212,2.1584307422149545,2.161884708700593,SSP1,Median,China,Staples,%,ChinaStaples
443,1567.4292,1657.6644000000001,1692.5233999999998,1773.4756,1748.525,,,,2.4767322779808594,3.0255323049681695,2.6875799322154115,2.4200847373745416,2.273283770824182,SSP1,Upper CI,China,Staples,%,ChinaStaples
462,128.293558,126.21683,126.2418596,126.2764292,132.044345086,,,,-0.5683645405945226,-0.6887505526552029,-0.39385345936742466,-0.33966110294213403,-0.3377628032139384,SSP1,Lower CI,Northeastern EU,Non-Staples,%,Northeastern EUNon-Staples
463,128.293558,126.21683,126.2418596,126.2764292,132.044345086,,,,-0.3411424180105552,-0.3544631802149143,-0.3239292183972822,-0.2774098426521421,-0.2871212604634377,SSP1,Median,Northeastern EU,Non-Staples,%,Northeastern EUNon-Staples
464,128.293558,126.21683,126.2418596,126.2764292,132.044345086,,,,-0.03021788475337439,0.06427414552484578,-0.21380877357715533,-0.2001736317775573,-0.22993233186269177,SSP1,Upper CI,Northeastern EU,Non-Staples,%,Northeastern EUNon-Staples
483,121.62328,113.28778,107.12695599999999,101.244302,100.21124,,,,-1.1720038772190722,-1.2873147111708205,-0.7182259120647001,-0.46861331834674047,-0.37969017196040755,SSP1,Lower CI,Northeastern EU,Staples,%,Northeastern EUStaples
484,121.62328,113.28778,107.12695599999999,101.244302,100.21124,,,,-0.40516340133352674,-0.4802127641446488,-0.6063688794211418,-0.2616515164302202,-0.2603003049834557,SSP1,Median,Northeastern EU,Staples,%,Northeastern EUStaples
485,121.62328,113.28778,107.12695599999999,101.244302,100.21124,,,,0.679022488595667,1.057505012604304,-0.08722578661839092,-0.10306746736827518,-0.16186652342851462,SSP1,Upper CI,Northeastern EU,Staples,%,Northeastern EUStaples
504,523.242858,581.44601,605.896086,608.646446,630.678656,,,,-0.27410352974468577,-0.5200239135864042,-0.28108084803683797,-0.21801129906169714,-0.20417045995124472,SSP1,Lower CI,Western EU,Non-Staples,%,Western EUNon-Staples
505,523.242858,581.44601,605.896086,608.646446,630.678656,,,,-0.24276468918288424,-0.2401457012087481,-0.19255673328959827,-0.14456756362791012,-0.15080859949249137,SSP1,Median,Western EU,Non-Staples,%,Western EUNon-Staples
506,523.242858,581.44601,605.896086,608.646446,630.678656,,,,0.064544458711341,0.2153289294546809,-0.09433307221926117,-0.07803813694617566,-0.10607472133333536,SSP1,Upper CI,Western EU,Non-Staples,%,Western EUNon-Staples
525,304.61154,338.99271999999996,337.91483999999997,344.45025999999996,350.20748000000003,,,,-0.35740354180396977,-1.0992443655432118,-0.4988004634899446,-0.2057204366620118,-0.11753112078227179,SSP1,Lower CI,Western EU,Staples,%,Western EUStaples
526,304.61154,338.99271999999996,337.91483999999997,344.45025999999996,350.20748000000003,,,,-0.15433480873853503,-0.48162533334290497,-0.17708766459488406,0.033877119812693215,0.014148195397594925,SSP1,Median,Western EU,Staples,%,Western EUStaples
527,304.61154,338.99271999999996,337.91483999999997,344.45025999999996,350.20748000000003,,,,0.9344483820224041,1.607016312466337,0.29162118570983603,0.23971066688856316,0.1325147730907018,SSP1,Upper CI,Western EU,Staples,%,Western EUStaples
546,71.834703,56.917258000000004,63.357045400000004,62.1816818,65.74335614,,,,-0.514262579084254,-0.5621991967321498,-0.38089223118715826,-0.33167233454604533,-0.32823638875955763,SSP1,Lower CI,Eastern Europe,Non-Staples,%,Eastern EuropeNon-Staples
547,71.834703,56.917258000000004,63.357045400000004,62.1816818,65.74335614,,,,-0.4193947501979071,-0.4209542795906327,-0.2999528795860966,-0.2597133349543094,-0.27291860856671474,SSP1,Median,Eastern Europe,Non-Staples,%,Eastern EuropeNon-Staples
