,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,Units
0,1141.3216238413086,456.97619527855477,1103.800293067718,1820.6517668811503,767.7783962469598,,,,-1228.7924015899987,-1634.6258545340522,-2366.985081918547,-2059.735009671167,-1578.1860360293786,SSP1,Lower CI,Change in LUC emissions
1,1141.3216238413086,456.97619527855477,1103.800293067718,1820.6517668811503,767.7783962469598,,,,-704.5955271084421,-371.80198072085125,-609.1854583031021,-676.3360052285608,-597.0780194406708,SSP1,Median,Change in LUC emissions
2,1141.3216238413086,456.97619527855477,1103.800293067718,1820.6517668811503,767.7783962469598,,,,-312.7204679397221,438.23743494083305,39.8898624933513,-647.5422639216187,-468.27208370749725,SSP1,Upper CI,Change in LUC emissions
