,Crop,MGMT,Version,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,Units,cat
210,Fiber Crops,Low Intensity,Lower CI,153.010746260112,145.236479878318,133.966318565979,133.192341065293,134.160150106311,,,,116.56651805761926,113.11935252580658,110.41476162657784,108.73835620632909,107.57587397591669,,Fiber CropsLow Intensity
211,Fiber Crops,Low Intensity,Median,153.010746260112,145.236479878318,133.966318565979,133.192341065293,134.160150106311,,,,117.2567936009807,113.9753596806822,110.90489947898146,109.22215281594184,108.01139481930586,,Fiber CropsLow Intensity
212,Fiber Crops,Low Intensity,Upper CI,153.010746260112,145.236479878318,133.966318565979,133.192341065293,134.160150106311,,,,118.5810648490871,114.32265682160731,111.31158684107876,109.6246945173518,108.42076750073397,,Fiber CropsLow Intensity
231,Fruits,Biochar Application,Lower CI,0.0,0.0,0.0,0.0,0.0,,,,12.782927858852482,17.72302610023664,17.905058383039762,17.306381945022363,16.378775518397898,,FruitsBiochar Application
232,Fruits,Biochar Application,Median,0.0,0.0,0.0,0.0,0.0,,,,17.72927464071373,21.333571187480494,20.618670481202788,19.926914030850114,18.87742588302954,,FruitsBiochar Application
233,Fruits,Biochar Application,Upper CI,0.0,0.0,0.0,0.0,0.0,,,,19.737368072393593,23.702323182353762,22.891603127246345,22.205035801908796,21.033864506266394,,FruitsBiochar Application
252,Fruits,High Intensity,Lower CI,204.58612558319,259.423292782201,275.138348175762,289.814325068061,313.130882959941,,,,386.74306376417576,390.9969104940327,394.4226213552301,403.8911401229922,408.17911813788317,,FruitsHigh Intensity
253,Fruits,High Intensity,Median,204.58612558319,259.423292782201,275.138348175762,289.814325068061,313.130882959941,,,,388.5220983432346,393.859613411062,396.2604794109238,405.6213198070153,409.8564684885937,,FruitsHigh Intensity
254,Fruits,High Intensity,Upper CI,204.58612558319,259.423292782201,275.138348175762,289.814325068061,313.130882959941,,,,392.5831435117192,397.3157775477663,398.70986289817455,408.04862955690163,412.10070578693706,,FruitsHigh Intensity
273,Fruits,Low Intensity,Lower CI,204.58612548317,259.423292582201,275.138348175762,289.814324968061,292.37798955025715,,,,284.85886763159107,278.9942398248696,275.5732775363039,274.32856141094936,273.23610212711225,,FruitsLow Intensity
