,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units,categorization
106,19.71925,32.57479,37.207412,43.150037,52.921302999999995,,,,0.05302000000000007,0.13576999999999417,0.1806099999999986,0.23764100000001398,0.30759699999999257,SSP1,Median,Eastern Africa,missingmissingmissingmissingmissingmissingmissingmissing,Protein,BeefDairyOtherMeat_FishPorkPoultrySheepGoatLegumesNutsSeeds,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,Pcal,Eastern AfricaProtein
107,19.71925,32.57479,37.207412,43.150037,52.921302999999995,,,,0.09852517282397497,0.17748740779859398,0.23546233336821207,0.28927415160640907,0.3741873818411917,SSP1,Upper CI,Eastern Africa,missingmissingmissingmissingmissingmissingmissingmissing,Protein,BeefDairyOtherMeat_FishPorkPoultrySheepGoatLegumesNutsSeeds,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,missingmissingmissingmissingmissingmissingmissingmissing,Pcal,Eastern AfricaProtein
126,5.7171,10.1405,12.0387,14.354,15.6023,,,,-0.7184591934474573,-0.6829935319205133,-0.5627354080109751,-0.5422896193103969,-0.5407689315289752,SSP1,Lower CI,Eastern Africa,missing,Rice,Rice,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaRice
127,5.7171,10.1405,12.0387,14.354,15.6023,,,,-0.7124999999999986,-0.6236999999999995,-0.5450000000000017,-0.5405999999999977,-0.5381,SSP1,Median,Eastern Africa,missing,Rice,Rice,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaRice
128,5.7171,10.1405,12.0387,14.354,15.6023,,,,-0.7027630287747653,-0.4910064680794883,-0.5062550681795016,-0.5382818092610308,-0.5370691637091196,SSP1,Upper CI,Eastern Africa,missing,Rice,Rice,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaRice
147,12.1522,16.6494,17.8417,23.33,25.3047,,,,0.087143281230055,-0.002346312029494549,0.02231217633103725,0.03221276470183554,0.03323203778169405,SSP1,Lower CI,Eastern Africa,missing,Roots and Tubers,RootTuber,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaRoots and Tubers
148,12.1522,16.6494,17.8417,23.33,25.3047,,,,0.09759999999999991,0.04520000000000124,0.031500000000001194,0.03669999999999973,0.03640000000000043,SSP1,Median,Eastern Africa,missing,Roots and Tubers,RootTuber,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaRoots and Tubers
149,12.1522,16.6494,17.8417,23.33,25.3047,,,,0.11116782988105577,0.08328748850008558,0.047278299859440855,0.04673009244102372,0.04341558126592501,SSP1,Upper CI,Eastern Africa,missing,Roots and Tubers,RootTuber,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaRoots and Tubers
168,1.11038,1.90977,8.48235,13.0304,15.7235,,,,-0.07782958802469792,-0.24509411210709223,-0.11805458226772311,-0.14628303819016214,-0.1640706769189505,SSP1,Lower CI,Eastern Africa,missing,Sugar Crops,SugarCrop,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaSugar Crops
169,1.11038,1.90977,8.48235,13.0304,15.7235,,,,-0.06579999999999586,-0.0899999999999963,-0.1133000000000024,-0.13179999999999836,-0.14920000000000044,SSP1,Median,Eastern Africa,missing,Sugar Crops,SugarCrop,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaSugar Crops
170,1.11038,1.90977,8.48235,13.0304,15.7235,,,,-0.0514815230864063,0.3329999944600367,-0.09752637011323437,-0.12097410466698309,-0.13222456117628628,SSP1,Upper CI,Eastern Africa,missing,Sugar Crops,SugarCrop,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaSugar Crops
189,10.724,19.2566,25.083,27.8979,30.3696,,,,0.07054276148630137,0.027941093020939223,0.10605141540966956,0.10452122198069531,0.10359903614130232,SSP1,Lower CI,Eastern Africa,missing,Wheat,Wheat,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaWheat
190,10.724,19.2566,25.083,27.8979,30.3696,,,,0.11899999999999977,0.15029999999999433,0.12760000000000105,0.10909999999999798,0.10820000000000363,SSP1,Median,Eastern Africa,missing,Wheat,Wheat,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaWheat
191,10.724,19.2566,25.083,27.8979,30.3696,,,,0.13879057184703042,0.33478831874375975,0.163148584590329,0.12560258754311415,0.11604858290632351,SSP1,Upper CI,Eastern Africa,missing,Wheat,Wheat,missing,missing,missing,missing,missing,missing,missing,Pcal,Eastern AfricaWheat
210,13.1097,21.7038,24.4581,26.7655,27.7532,,,,-0.07257748394175514,-0.13376682311715574,-0.03570323466101947,-0.008169068595084905,0.0039812459275067845,SSP1,Lower CI,Northern Africa,missing,Corn,Corn,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaCorn
211,13.1097,21.7038,24.4581,26.7655,27.7532,,,,-0.06610000000000227,-0.02260000000000062,-0.009199999999999875,0.002100000000002211,0.007500000000000284,SSP1,Median,Northern Africa,missing,Corn,Corn,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaCorn
212,13.1097,21.7038,24.4581,26.7655,27.7532,,,,-0.011200293836025544,0.0722491760583314,-0.004830098672311435,0.0033309733569928217,0.010561611215350639,SSP1,Upper CI,Northern Africa,missing,Corn,Corn,missing,missing,missing,missing,missing,missing,missing,Pcal,Northern AfricaCorn
231,7.91572,14.32713,17.22494,19.433030000000002,22.52823,,,,0.1498134329417097,0.0744270637071226,0.15965961354807878,0.1737352976445496,0.1808537856268925,SSP1,Lower CI,Northern Africa,missingmissing,Fruits and Vegetables,FruitsVegetables,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,Pcal,Northern AfricaFruits and Vegetables
232,7.91572,14.32713,17.22494,19.433030000000002,22.52823,,,,0.15390000000000015,0.15060000000000073,0.16949999999999932,0.18079999999999785,0.18510000000000204,SSP1,Median,Northern Africa,missingmissing,Fruits and Vegetables,FruitsVegetables,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,missingmissing,Pcal,Northern AfricaFruits and Vegetables
