region_id,region_name,country,analysis_year,capacity_data_status,reporting_cycle,facility_row_count,facility_rows_with_capacity,unique_facility_count,unique_jurisdiction_count,total_permitted_capacity_ton_per_year,total_available_capacity_ton_per_year,total_used_capacity_ton_per_year,total_organic_waste_recycling_capacity_needed_ton_per_year,total_edible_food_recovery_capacity_available_ton_per_year,total_edible_food_recovery_capacity_needed_ton_per_year,activity_types_observed,source_organization,source_url,registered_export_file,registered_at_utc,notes
us_ca,California,United States,2026,manual_export_processed,2022-2024,58,58,58,58,25210857.65,23556306.380000003,14364278.25,1654551.27,662411.6699999999,60068.15,county_capacity_planning_summary,California Department of Resources Recycling and Recovery,https://www2.calrecycle.ca.gov/LGCentral/datatools/reports/capacityplanning,calrecycle_capacity_planning_manual_export.xlsx,2026-04-03T23:35:43+00:00,Structured from a manually exported official CalRecycle county-level capacity-planning file. Each row summarizes one county for one reporting cycle.
us_ca,California,United States,2026,manual_export_processed,2025-2034,58,58,58,58,35777678.04,35271786.74,15168149.17,505891.3,15707840.85,20215.71,county_capacity_planning_summary,California Department of Resources Recycling and Recovery,https://www2.calrecycle.ca.gov/LGCentral/datatools/reports/capacityplanning,calrecycle_capacity_planning_manual_export.xlsx,2026-04-03T23:35:43+00:00,Structured from a manually exported official CalRecycle county-level capacity-planning file. Each row summarizes one county for one reporting cycle.
