sample_id,source_repo,source_file,source_dataset_kind,pathway,feedstock_name,feedstock_group,blending_case,blend_manure_ratio,blend_wet_waste_ratio,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,feedstock_hhv_mj_per_kg,process_temperature_c,residence_time_min,heating_rate_c_per_min,product_char_yield_pct,product_char_carbon_pct,product_char_hydrogen_pct,product_char_nitrogen_pct,product_char_oxygen_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct,reference_label,source_extra_value_1,source_extra_value_2,source_extra_value_3
Wet-Waste-Biomass-Opt::pyrolysis::0017,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,48.12,6.48,1.89,43.51,,69.5,15.9,2.9,18.92,600,30,10.0,21.07,84.31,2.41,0.76,12.52,27.18,30.27,36.92,"(Liu et al., 2014)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0018,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,46.21,6.01,1.91,45.87,,65.3,15.6,11.7,18.11,500,30,10.0,27.28,77.34,2.64,2.79,17.23,23.69,35.68,45.67,"(Liu et al., 2014)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0019,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,48.37,4.98,0.38,46.27,,70.4,18.5,1.2,19.46,500,30,10.0,22.33,87.61,2.15,0.93,9.31,30.47,34.96,40.44,"(Liu et al., 2014)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0020,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,47.0,6.44,0.44,45.63,,80.57,18.06,1.37,18.27,500,30,7.0,31.05,77.72,2.94,1.08,17.89,27.65,46.99,51.35,"(Oginni et al., 2017)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0021,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,46.8,6.45,0.47,45.74,,80.06,18.1,1.83,18.17,500,30,7.0,30.53,78.46,2.73,0.84,17.75,27.57,46.33,51.18,"(Oginni et al., 2017)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0022,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,48.02,6.71,0.52,44.19,,79.76,18.22,2.02,18.7,500,30,7.0,30.79,80.09,2.71,0.84,16.2,28.31,46.61,51.35,"(Oginni et al., 2017)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0023,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,47.03,6.45,0.53,45.46,,80.59,17.03,1.21,18.29,500,30,7.0,30.26,80.23,2.77,0.64,16.24,28.45,47.08,51.63,"(Oginni et al., 2017)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0024,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,30.52,48.97,0.34,20.17,,74.1,25.9,2.0,20.77,600,60,5.0,31.8,90.6,2.8,0.9,7.9,33.6,51.45,94.41,"(Windeatt et al., 2014)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0025,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,26.77,46.89,0.45,25.89,,85.3,14.7,4.4,17.91,600,60,5.0,27.7,88.6,2.8,1.3,13.7,30.1,46.56,91.68,"(Windeatt et al., 2014)",,,
Wet-Waste-Biomass-Opt::pyrolysis::0026,Wet-Waste-Biomass-Opt,Pyrolysis_data.csv,literature_experiment,pyrolysis,,unknown,single_source_reference,,,27.22,49.96,0.71,22.1,,80.9,19.1,19.6,14.15,600,60,5.0,39.0,54.5,2.1,1.1,5.4,19.3,53.19,78.08,"(Windeatt et al., 2014)",,,
