sample_id,source_repo,source_file,source_dataset_kind,pathway,feedstock_name,feedstock_group,blending_case,blend_manure_ratio,blend_wet_waste_ratio,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,feedstock_hhv_mj_per_kg,process_temperature_c,residence_time_min,heating_rate_c_per_min,product_char_yield_pct,product_char_carbon_pct,product_char_hydrogen_pct,product_char_nitrogen_pct,product_char_oxygen_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct,reference_label,source_extra_value_1,source_extra_value_2,source_extra_value_3
Wet-Waste-Biomass-Opt::htc::0018,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,31.61,5.24,4.34,24.62,83.0,60.67,5.14,34.19,,240,600,,59.85,30.65,4.19,2.15,8.58,14.77,64.19,58.03,"(Liu et al., 2019)",,,
Wet-Waste-Biomass-Opt::htc::0019,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.7,6.4,5.5,22.8,85.7,69.98,1.42,28.6,,200,240,,53.9,33.3,4.41,1.94,16.43,14.62,45.13,48.91,"(He et al., 2013)",,,
Wet-Waste-Biomass-Opt::htc::0020,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.7,6.4,5.5,22.8,85.7,69.98,1.42,28.6,,200,360,,58.6,33.2,4.29,1.94,15.94,14.5,48.66,53.01,"(He et al., 2013)",,,
Wet-Waste-Biomass-Opt::htc::0021,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.7,6.4,5.5,22.8,85.7,69.98,1.42,28.6,,200,480,,59.8,32.6,4.21,2.28,16.52,14.1,48.28,53.12,"(He et al., 2013)",,,
Wet-Waste-Biomass-Opt::htc::0022,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.7,6.4,5.5,22.8,85.7,69.98,1.42,28.6,,200,600,,60.2,32.5,4.09,2.28,14.73,14.23,49.04,53.31,"(He et al., 2013)",,,
Wet-Waste-Biomass-Opt::htc::0023,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.7,6.4,5.5,22.8,85.7,69.98,1.42,28.6,,200,720,,60.4,32.5,4.09,2.28,14.3,14.25,49.27,53.49,"(He et al., 2013)",,,
Wet-Waste-Biomass-Opt::htc::0024,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,22.65,3.22,1.32,25.37,93.75,47.38,5.18,47.44,,180,30,,78.0,20.91,2.6,0.73,20.91,7.06,71.18,72.01,"(Lin et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0025,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,22.65,3.22,1.32,25.37,93.75,47.38,5.18,47.44,,210,30,,76.0,20.32,2.3,0.47,18.97,6.77,66.57,68.18,"(Lin et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0026,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,22.65,3.22,1.32,25.37,93.75,47.38,5.18,47.44,,240,30,,72.5,19.66,1.97,0.46,17.3,6.34,59.48,62.93,"(Lin et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0027,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,22.65,3.22,1.32,25.37,93.75,47.38,5.18,47.44,,270,30,,68.0,19.17,1.89,0.45,14.82,6.54,57.49,57.55,"(Lin et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0028,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,22.65,3.22,1.32,25.37,93.75,47.38,5.18,47.44,,300,30,,65.0,19.11,1.7,0.45,12.49,6.66,56.02,54.84,"(Lin et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0029,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,180,15,,62.26,52.19,6.57,9.13,30.81,25.25,65.06,63.46,"(Zhao et al., 2014)",,,
Wet-Waste-Biomass-Opt::htc::0030,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,180,30,,60.07,53.2,6.52,8.69,29.91,25.89,64.35,62.41,"(Zhao et al., 2014)",,,
Wet-Waste-Biomass-Opt::htc::0031,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,180,45,,58.08,55.31,6.68,9.03,27.55,27.7,66.58,62.74,"(Zhao et al., 2014)",,,
Wet-Waste-Biomass-Opt::htc::0032,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,200,15,,59.73,55.07,6.7,8.99,27.62,27.48,67.92,64.24,"(Zhao et al., 2014)",,,
Wet-Waste-Biomass-Opt::htc::0033,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,200,30,,58.56,57.44,6.65,8.71,25.61,28.67,69.48,65.7,"(Zhao et al., 2014)",,,
Wet-Waste-Biomass-Opt::htc::0034,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,200,45,,56.78,59.23,6.66,8.29,24.84,29.54,69.4,65.69,"(Zhao et al., 2014)",,,
Wet-Waste-Biomass-Opt::htc::0035,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,220,15,,58.36,59.31,6.67,9.0,23.8,29.56,71.39,67.6,"(Zhao et al., 2014)",,,
Wet-Waste-Biomass-Opt::htc::0036,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,220,30,,55.55,60.0,6.45,8.4,24.13,29.47,67.74,65.1,"(Zhao et al., 2014)",,,
Wet-Waste-Biomass-Opt::htc::0037,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,220,45,,54.18,62.31,6.28,8.72,21.47,30.02,67.31,65.93,"(Zhao et al., 2014)",,,
Wet-Waste-Biomass-Opt::htc::0038,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,240,15,,54.59,61.29,6.28,9.3,22.17,29.64,66.95,65.35,"(Zhao et al., 2014)",,,
Wet-Waste-Biomass-Opt::htc::0039,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,240,30,,52.6,62.62,5.95,8.04,21.93,29.66,64.56,64.34,"(Zhao et al., 2014)",,,
Wet-Waste-Biomass-Opt::htc::0040,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,240,45,,50.21,67.96,5.72,8.72,16.25,31.11,64.63,66.64,"(Zhao et al., 2014)",,,
Wet-Waste-Biomass-Opt::htc::0041,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,21.86,3.37,3.83,29.14,83.0,55.0,3.2,41.8,,220,60,,59.07,23.64,2.84,2.48,11.03,10.05,84.73,63.88,"(Ma et al., 2019)",,,
Wet-Waste-Biomass-Opt::htc::0042,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,140,240,,74.64,37.15,5.32,4.77,30.22,14.82,68.16,75.7,"(Danso-Boateng et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0043,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,160,60,,81.13,37.69,5.75,4.4,19.1,17.56,87.8,83.48,"(Danso-Boateng et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0044,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,160,120,,71.08,38.02,5.64,4.44,20.28,17.27,75.66,73.78,"(Danso-Boateng et al., 2015)",,,
Wet-Waste-Biomass-Opt::htc::0045,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,htc,Sludge,sludge,single_source_reference,,,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,160,240,,67.11,38.07,5.42,3.55,18.27,17.32,71.62,69.75,"(Danso-Boateng et al., 2015)",,,
