,2025,2030,2035,2040,2045,2050,product,scenario_new,baseline,Units
0,0.0,-38.572849560880286,-3492.1298237500614,-6224.805216594078,-769.8288390835478,-1435.8895581264405,BECCS,45Q-2040,low,Million 2025$USD/yr
1,0.0,0.0,0.0,0.0,0.0,0.0,BECCS subsidy,45Q-2040,low,Million 2025$USD/yr
2,-13.13557736881512,-0.499236618519717,2753.1470031744893,5183.367383469993,-181.41243056699022,-456.01355260512173,DAC,45Q-2040,low,Million 2025$USD/yr
3,6.297346820396797,28.333252579401687,6033.4154405755,12913.616560260009,0.0,0.0,DAC subsidy,45Q-2040,low,Million 2025$USD/yr
4,-4.211981955171041,0.7159696495089634,-980.294194180205,-2212.12076762693,237.06203241100957,343.3690018653797,OEW,45Q-2040,low,Million 2025$USD/yr
5,0.0,0.0,0.0,0.0,0.0,0.0,OEW subsidy,45Q-2040,low,Million 2025$USD/yr
6,-1.6267974494059985,-2.330743207074022,-1181.115086978402,-3318.5053408816993,167.6182304847316,141.33276643859426,TEW,45Q-2040,low,Million 2025$USD/yr
7,0.0,0.0,0.0,0.0,0.0,0.0,TEW subsidy,45Q-2040,low,Million 2025$USD/yr
0,-12.677009952995363,-12.353607157563374,3133.0233388413217,6341.552618627295,-546.5610067547968,-1407.2013424275883,,,,
