,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,cost_type,Units,npv_0.02,npv_0.12,npv_0.2
0,2220.7603419255406,2356.593450397798,2492.4265588700546,2628.2596673423113,2764.092775814569,2899.9258842868257,3526.623795544561,4153.321706802295,4780.019618060031,5406.717529317765,6033.4154405755,7409.455664512401,8785.495888449303,10161.536112386206,11537.576336323107,12913.616560260009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Subsidy,Million 2025$USD/yr,0.07396486389662726,0.03250692008281343,0.020078072923277207
9,0.0,0.0,0.0,0.0,0.0,132580.38097048947,141779.445551365,150978.5101322405,160177.57471311602,169376.63929399155,178575.70387486706,182734.3148723319,186892.92586979672,191051.53686726151,195210.14786472634,199368.75886219117,259655.94088131335,319943.1229004355,380230.30491955765,440517.4869386799,500804.668957802,552578.1435325595,604351.618107317,656125.0926820745,707898.567256832,759672.0418315894,Deadweight Loss,Million 2025$USD/yr,4.93845458765195,1.101569709112602,0.45270267290170135
0,2539.892629491037,2713.637775078628,2887.3829206662176,3061.1280662538084,3234.873211841399,5204.056520133949,6099.643928333611,6995.231336533274,7890.818744732935,8786.406152932597,9681.99356113226,11197.779400789714,12713.56524044717,14229.351080104623,15745.136919762079,17260.922759419533,22659.23550569211,28057.54825196469,33455.860998237265,38854.17374450985,44252.48649078242,52407.61553804821,60562.744585313994,68717.87363257977,76873.00267984555,85028.13172711132,CDR Market,Million 2025$USD/yr,0.44025568774037405,0.09252273242935745,0.039184719892111204
