C (wt%),H (wt%),N (wt%),O (wt%),Bio_HHV,FC (%),VM (%),Ash (%),T (°C),RT (min),HT (°C/min),Yield_char (%),C_char (%),H_char (%),O_char (%),N_char (%),Char_HHV,ER,CR,REF,https://doi.org/10.1016/j.enconman.2020.113258,,
35.1,4,1.05,38.1,13.06,20.8,58.4,20.8,600,30,5,45.8,45.11,1.44,9.33,1.42,15.56,54.56,58.86,,,,
35.7,5.27,9.61,40.98,13.54,23.5,68.3,8.2,300,30,5,53.2,53.57,3.69,24.34,5.41,20.23,79.47,79.83,,,,
35.7,5.27,9.61,40.98,13.54,23.5,68.3,8.2,350,30,5,43,57,3.19,15.91,5.3,22.5,71.44,68.66,,,,
35.7,5.27,9.61,40.98,13.54,23.5,68.3,8.2,500,30,5,33.4,60.35,2.44,11.25,4.16,22.26,54.9,56.46,,,,
35.7,5.27,9.61,40.98,13.54,23.5,68.3,8.2,600,30,5,31.1,56.6,2.02,8.22,3.86,20.61,47.33,49.31,,,,
31.39,3.39,0.35,43.4,15.77,14.73,63.78,12.99,300,60,5,35.86,47.15,4.52,23.98,0.65,19.6,44.57,53.86,[42],,,
31.39,3.39,0.35,43.4,15.77,14.73,63.78,12.99,400,90,5,33.73,54.33,2.06,8.11,0.64,21.01,44.94,58.38,,,,
31.39,3.39,0.35,43.4,15.77,14.73,63.78,12.99,500,120,5,35.14,57.35,1.48,8.08,0.63,22,49.02,64.2,,,,
31.39,3.39,0.35,43.4,15.77,14.73,63.78,12.99,300,120,10,34.96,46.16,4.51,27.19,0.68,18.31,40.59,51.41,,,,
31.39,3.39,0.35,43.4,15.77,14.73,63.78,12.99,400,60,10,37.51,52.13,2.67,12.64,0.63,21.53,51.21,62.29,,,,
31.39,3.39,0.35,43.4,15.77,14.73,63.78,12.99,500,90,10,34.74,58.41,1.75,5.27,0.77,23.41,51.57,64.64,,,,
31.39,3.39,0.35,43.4,15.77,14.73,63.78,12.99,300,90,20,37.71,46.14,3.83,23.33,0.44,17.6,42.09,55.43,,,,
31.39,3.39,0.35,43.4,15.77,14.73,63.78,12.99,400,120,20,36.16,54.56,2.25,9.16,0.5,21.11,48.4,62.85,,,,
31.39,3.39,0.35,43.4,15.77,14.73,63.78,12.99,500,60,20,34.85,56.28,1.36,7.74,0.63,22.64,50.03,62.48,,,,
49.17,5.93,1.03,43.87,17.73,14.43,78.17,3.53,400,60,10,37.71,71.69,3.98,23.17,1.17,24.56,52.25,54.99,[45],,,
49.17,5.93,1.03,43.87,17.73,14.43,78.17,3.53,500,60,10,34.02,75.51,3.17,20.09,1.23,24.03,46.1,52.25,,,,
49.17,5.93,1.03,43.87,17.73,14.43,78.17,3.53,600,60,10,27.69,78.97,2.48,17.26,1.29,24.17,37.74,44.48,,,,
49.17,5.93,1.03,43.87,17.73,14.43,78.17,3.53,700,60,10,27.03,81.59,2.12,14.92,1.37,24.61,37.53,44.86,,,,
59.6,8.9,5.9,23.9,24.8,11.7,60.9,27.4,450,30,10,49.5,64.2,4.5,23.6,5.8,28.8,57.48,53.32,[48],,,
53.5,7.1,2.1,36.8,22.4,19.3,73.6,7.1,450,30,10,38.6,81.6,4.2,11.1,2.8,31.8,54.8,58.87,,,,
50.4,6.5,0.4,42.6,19.9,17.1,79.4,3.5,450,30,10,34.7,83.5,3.6,11.9,1,31.3,54.58,57.49,,,,
59.6,8.9,5.9,23.9,24.8,11.7,60.9,27.4,550,30,10,45,66.4,2.9,23,5.5,28.9,52.44,50.13,,,,
53.5,7.1,2.1,36.8,22.4,19.3,73.6,7.1,550,30,10,34.4,84.3,3,9.7,2.6,32.4,49.76,54.2,,,,
50.4,6.5,0.4,42.6,19.9,17.1,79.4,3.5,550,30,10,30.2,89.9,2.9,3.6,0.9,33.3,50.54,53.87,,,,
53.5,7.1,2.1,36.8,22.4,11.7,60.9,27.4,650,30,10,42.3,68.5,2.1,22.8,4.2,30.6,57.78,54.16,,,,
50.4,6.5,0.4,42.6,19.9,19.3,73.6,7.1,650,30,10,31.1,85.4,2.3,9.5,2.3,32.1,50.17,52.7,,,,
42.2,6.6,4,36.4,15.86,13.6,68.3,18.1,400,60,10,39,41.8,1,20.6,3.2,12.26,30.16,38.63,[52],,,
42.2,6.6,4,36.4,15.86,13.6,68.3,18.1,500,60,10,37,41.8,1,18.4,2.6,12.6,29.39,36.65,,,,
42.2,6.6,4,36.4,15.86,13.6,68.3,18.1,600,60,10,36,41.1,0.8,17.6,2.5,12.16,27.61,35.06,,,,
42.2,6.6,4,36.4,15.86,13.6,68.3,18.1,700,60,10,34,43.9,0.9,14.9,2,13.66,29.28,35.37,,,,
42.2,6.6,4,36.4,15.86,13.6,68.3,18.1,800,60,10,34,42.1,1.1,13.5,1.6,13.6,29.17,33.92,,,,
33.4,47.31,1.41,17.88,17.6,4.5,80.7,14.8,350,120,2.5,46.77,55.8,4.29,18.73,2.6,20.9,55.55,78.13,[54],,,
33.4,47.31,1.41,17.88,17.6,4.5,80.7,14.8,700,120,8.33,29.82,56.67,0.94,4.13,1.51,18.97,32.14,50.59,,,,
32.87,47.89,1.48,17.77,17.66,7.9,76.7,15.4,350,120,2.5,43.23,53.32,4.05,15.7,3.64,20.39,49.91,70.14,,,,
32.87,47.89,1.48,17.77,17.66,7.9,76.7,15.4,700,120,8.33,27.24,52.41,0.91,7.2,1.7,17.23,26.58,43.44,,,,
31.42,46.78,2.34,19.46,15.11,8.8,74.3,16.9,350,120,2.5,45.12,51.07,3.79,15.63,4.45,19.03,56.83,73.35,,,,
31.42,46.78,2.34,19.46,15.11,8.8,74.3,16.9,700,120,8.33,30.5,45.91,1.98,10.53,2.07,14.75,29.77,44.56,,,,
33.25,50.57,2.47,13.71,19.39,5.6,73.6,20.9,350,120,2.5,49.28,51.51,4.91,11.1,3.54,21.12,53.68,76.34,,,,
33.25,50.57,2.47,13.71,19.39,5.6,73.6,20.9,700,120,8.33,28.79,44.06,0.74,4.03,2.61,15.07,22.38,38.15,,,,
31.97,47.79,2.32,17.92,15.48,5.7,74,20.3,350,120,2.5,46.31,49.28,3.6,15.4,4.07,17.28,51.69,71.39,,,,
31.97,47.79,2.32,17.92,15.48,5.7,74,20.3,700,120,8.33,31.8,44.77,0.91,5.8,1.94,14.45,29.68,44.54,,,,
48.12,6.48,1.89,43.51,18.79,18.01,78.71,3.28,400,60,10,26.6,79.65,3.96,15.72,0.67,31.28,44.29,44.03,Liu et al. 2014,https://doi.org/10.1016/j.biortech.2022.127511,,
48.12,6.48,1.89,43.51,18.79,18.01,78.71,3.28,500,60,10,25.32,83.27,3.33,12.62,0.78,31.85,42.91,43.82,Liu et al. 2014,,,
48.12,6.48,1.89,43.51,18.79,18.01,78.71,3.28,600,60,10,24.9,84.31,2.41,12.52,0.76,30.14,39.94,43.63,Liu et al. 2014,,,
48.12,6.48,1.89,43.51,18.79,18.01,78.71,3.28,300,60,15,77.3,67.21,4.49,27.63,0.67,22.64,93.14,107.97,Liu et al. 2014,,,
41,7.17,0.99,33.24,14.74,15.38,78.5,6.12,300,30,10,62.89,53.22,5.01,23.97,2.61,23.03,98.3,81.63,Liu et al. 2018,,,
41,7.17,0.99,33.24,14.74,15.38,78.5,6.12,400,30,10,41.58,58.09,3.84,15.15,2.69,24.26,68.45,58.91,Liu et al. 2018,,,
41,7.17,0.99,33.24,14.74,15.38,78.5,6.12,500,30,10,34.79,59.72,2.49,10.01,2.43,22.8,53.84,50.67,Liu et al. 2018,,,
41,7.17,0.99,33.24,14.74,15.38,78.5,6.12,600,30,10,36.85,61.76,2.16,7.52,1.73,23.28,58.22,55.51,Liu et al. 2018,,,
41,7.17,0.99,33.24,14.74,15.38,78.5,6.12,700,30,10,32.62,60,1.83,9.64,0.93,21.81,48.29,47.74,Liu et al. 2018,,,
43.28,5.92,1.96,39.32,16.54,8.93,82.21,8.86,300,30,10,62.73,49.89,4.73,30.03,2.48,17.18,65.17,72.31,He et al. 2018,,,
43.28,5.92,1.96,39.32,16.54,8.93,82.21,8.86,350,30,10,46.6,55.12,4.03,23.13,2.67,20.4,57.48,59.35,He et al. 2018,,,
43.28,5.92,1.96,39.32,16.54,8.93,82.21,8.86,400,30,10,41.08,57.49,3.59,17.12,2.76,22.58,56.09,54.57,He et al. 2018,,,
43.28,5.92,1.96,39.32,16.54,8.93,82.21,8.86,450,30,10,37.79,59.88,2.91,15.88,2.63,21.93,50.11,52.28,He et al. 2018,,,
43.28,5.92,1.96,39.32,16.54,8.93,82.21,8.86,500,30,10,35.86,61.98,2.57,12.35,2.54,22.97,49.81,51.35,He et al. 2018,,,
43.28,5.92,1.96,39.32,16.54,8.93,82.21,8.86,550,30,10,35.02,62.13,2.17,10.19,2.29,22.83,48.35,50.27,He et al. 2018,,,
43.28,5.92,1.96,39.32,16.54,8.93,82.21,8.86,600,30,10,35.79,64.03,1.78,8.55,2.23,23.13,50.07,52.95,He et al. 2018,,,
51.71,5.32,0.33,42.64,21.02,17.4,80.23,2.37,500,60,10,24.5,85.59,2.82,10.48,1.11,32.08,37.39,40.55,Lee et al. 2013,,,
61.57,4.37,1.02,33.04,26.59,23.18,70.24,6.58,500,60,10,38.7,84.44,2.88,11.67,1.02,31.45,45.78,53.08,Lee et al. 2013,,,
47.75,5.61,0.9,45.51,18.89,11.1,80.85,8.05,200,20,15,83.11,50.42,5.2,42.58,1.35,8.19,36.01,87.76,Liu and Han. 2015,,,
47.75,5.61,0.9,45.51,18.89,11.1,80.85,8.05,225,20,15,80.13,51.83,4.99,41.86,1.02,8.39,35.57,86.98,Liu and Han. 2015,,,
47.75,5.61,0.9,45.51,18.89,11.1,80.85,8.05,250,20,15,69.19,53.77,4.76,40.06,1.13,9.73,35.65,77.91,Liu and Han. 2015,,,
47.75,5.61,0.9,45.51,18.89,11.1,80.85,8.05,275,20,15,63.87,58.08,4.55,35.97,1.12,13.81,46.69,77.69,Liu and Han. 2015,,,
47.75,5.61,0.9,45.51,18.89,11.1,80.85,8.05,300,20,15,55.65,61.38,4.08,33.01,1.21,15.55,45.79,71.54,Liu and Han. 2015,,,
47.75,5.61,0.9,45.51,18.89,11.1,80.85,8.05,330,20,15,50.21,65.36,4.12,29.05,1.18,19.81,52.65,68.73,Liu and Han. 2015,,,
41.4,5.6,0,53.1,15.54,15,78.44,6.56,350,20,5,38.9,70.88,5.46,21.96,1.71,31.12,77.9,66.6,Crombie et al. 2013,,,
41.4,5.6,0,53.1,15.54,15,78.44,6.56,450,20,5,31.2,83.11,5.4,10.12,1.36,39.79,79.9,62.63,Crombie et al. 2013,,,
41.4,5.6,0,53.1,15.54,15,78.44,6.56,550,20,5,30.1,86.21,3.63,9.36,0.81,34.71,67.24,62.68,Crombie et al. 2013,,,
41.4,5.6,0,53.1,15.54,15,78.44,6.56,650,20,5,29.5,94,3.68,0,1.53,39.16,74.34,66.98,Crombie et al. 2013,,,
42.95,5.64,0.76,40.51,16.39,9.93,80.7,9.37,300,30,10,69.7,52.39,4.69,31.89,0.92,16.23,69.03,85.02,He et al. 2018,,,
42.95,5.64,0.76,40.51,16.39,9.93,80.7,9.37,350,30,10,49.11,56.12,4.12,23.98,0.89,20.47,61.34,64.17,He et al. 2018,,,
42.95,5.64,0.76,40.51,16.39,9.93,80.7,9.37,400,30,10,40.13,60.88,3.63,17.39,1.03,23.51,57.57,56.88,He et al. 2018,,,
42.95,5.64,0.76,40.51,16.39,9.93,80.7,9.37,450,30,10,37.56,62.57,2.79,12.02,0.86,23.71,54.36,54.72,He et al. 2018,,,
42.95,5.64,0.76,40.51,16.39,9.93,80.7,9.37,500,30,10,34.06,64.12,2.41,12.53,0.88,23.22,48.26,50.85,He et al. 2018,,,
42.95,5.64,0.76,40.51,16.39,9.93,80.7,9.37,550,30,10,33.52,65.09,2.18,11.98,0.86,23.24,47.54,50.8,He et al. 2018,,,
42.95,5.64,0.76,40.51,16.39,9.93,80.7,9.37,600,30,10,33.64,66.13,1.79,7.53,0.79,23.98,49.22,51.8,He et al. 2018,,,
37.83,10.18,1.31,36.74,11.82,15.12,75.66,9.23,300,30,10,62.21,47.51,6.4,29.65,0.8,24.45,128.68,78.13,Liu et al. 2018,,,
37.83,10.18,1.31,36.74,11.82,15.12,75.66,9.23,400,30,10,40,58.74,5.3,15.32,0.95,29.78,100.77,62.11,Liu et al. 2018,,,
37.83,10.18,1.31,36.74,11.82,15.12,75.66,9.23,500,30,10,36.56,61.47,3.84,8.17,0.73,27.16,84,59.41,Liu et al. 2018,,,
37.83,10.18,1.31,36.74,11.82,15.12,75.66,9.23,600,30,10,32.65,65.18,2.84,5.73,0.49,25.95,71.67,56.26,Liu et al. 2018,,,
37.83,10.18,1.31,36.74,11.82,15.12,75.66,9.23,700,30,10,30.98,65.39,2.91,7.17,0.5,25.95,68.01,53.55,Liu et al. 2018,,,
40.06,5.47,0.69,40.23,14.96,10.06,76.87,13.07,300,30,10,74.49,44.12,4.73,34.19,0.79,12.7,63.24,82.04,He et al. 2018,,,
40.06,5.47,0.69,40.23,14.96,10.06,76.87,13.07,350,30,10,53.68,49.32,3.71,23.86,0.83,17.58,63.08,66.09,He et al. 2018,,,
40.06,5.47,0.69,40.23,14.96,10.06,76.87,13.07,400,30,10,43.73,51.48,3.25,17.12,0.93,20.12,58.82,56.2,He et al. 2018,,,
40.06,5.47,0.69,40.23,14.96,10.06,76.87,13.07,450,30,10,39.98,51.45,2.89,16.89,0.85,19.31,51.62,51.35,He et al. 2018,,,
40.06,5.47,0.69,40.23,14.96,10.06,76.87,13.07,500,30,10,37.5,51.56,2.26,12.45,0.89,19.6,49.13,48.27,He et al. 2018,,,
40.06,5.47,0.69,40.23,14.96,10.06,76.87,13.07,550,30,10,36.64,54.86,2.01,9.89,0.88,20.67,50.62,50.18,He et al. 2018,,,
40.06,5.47,0.69,40.23,14.96,10.06,76.87,13.07,600,30,10,35.59,55.06,1.61,5.09,0.87,21,49.96,48.92,He et al. 2018,,,
40.06,5.47,0.69,40.23,14.96,10.16,76.86,12.98,300,30,10,74.32,45.2,4.83,35.25,0.81,12.42,61.71,83.86,Hong et al. 2020,,,
40.06,5.47,0.69,40.23,14.96,10.16,76.86,12.98,350,30,10,45.39,49.38,3.72,24.2,0.91,17.43,52.87,55.95,Hong et al. 2020,,,
40.06,5.47,0.69,40.23,14.96,10.16,76.86,12.98,400,30,10,43.21,51.89,3.25,17.21,0.98,20.18,58.3,55.97,Hong et al. 2020,,,
40.06,5.47,0.69,40.23,14.96,10.16,76.86,12.98,450,30,10,38.88,52.23,2.79,16.34,0.92,19.49,50.66,50.69,Hong et al. 2020,,,
40.06,5.47,0.69,40.23,14.96,10.16,76.86,12.98,500,30,10,37.21,51.88,2.32,11.88,0.96,19.96,49.63,48.19,Hong et al. 2020,,,
40.06,5.47,0.69,40.23,14.96,10.16,76.86,12.98,550,30,10,36.69,54.98,1.98,10.45,0.94,20.51,50.31,50.35,Hong et al. 2020,,,
40.06,5.47,0.69,40.23,14.96,10.16,76.86,12.98,600,30,10,36.88,55.79,1.58,5.89,0.93,21.05,51.88,51.36,Hong et al. 2020,,,
38.62,6.1,1.6,32.88,14.02,13.43,71.94,14.63,300,30,10,72.32,48.33,5.34,24.91,2.58,22.71,117.17,90.5,Liu et al. 2018,,,
38.62,6.1,1.6,32.88,14.02,13.43,71.94,14.63,400,30,10,44.56,54.28,3.65,15.64,2.15,22.51,71.55,62.63,Liu et al. 2018,,,
38.62,6.1,1.6,32.88,14.02,13.43,71.94,14.63,500,30,10,39.15,54.31,3.45,11.87,1.68,23.2,64.77,55.06,Liu et al. 2018,,,
38.62,6.1,1.6,32.88,14.02,13.43,71.94,14.63,600,30,10,37.89,56.85,2.27,7.89,0.87,22.06,59.63,55.78,Liu et al. 2018,,,
38.62,6.1,1.6,32.88,14.02,13.43,71.94,14.63,700,30,10,36.12,55.28,1.88,6.84,1.08,21.19,54.59,51.7,Liu et al. 2018,,,
49.5,5.9,0,44.7,19.6,22.31,75.62,2.07,350,20,5,48.7,69.64,3.79,26.58,0,21.75,54.05,68.51,Crombie et al. 2013,,,
49.5,5.9,0,44.7,19.6,22.31,75.62,2.07,450,20,5,36.6,79.86,2.68,17.47,0,27.22,50.83,59.05,Crombie et al. 2013,,,
49.5,5.9,0,44.7,19.6,22.31,75.62,2.07,550,20,5,33.2,89.93,1.57,8.5,0,32.07,54.33,60.32,Crombie et al. 2013,,,
49.5,5.9,0,44.7,19.6,22.31,75.62,2.07,650,20,5,29.1,94.61,1.97,3.42,0,35.37,52.52,55.62,Crombie et al. 2013,,,
49.1,5.55,0.45,44.9,19.58,16.72,82.75,0.53,400,30,20,27.02,77.81,6.07,14.06,2.06,39.79,54.9,42.82,Liu et al. 2018,,,
49.1,5.55,0.45,44.9,19.58,16.72,82.75,0.53,500,30,20,25.98,82.92,4.65,10.57,1.86,36.55,48.51,43.87,Liu et al. 2018,,,
49.1,5.55,0.45,44.9,19.58,16.72,82.75,0.53,600,30,20,23.12,88.92,3.48,5.97,1.63,36,42.51,41.87,Liu et al. 2018,,,
49.1,5.55,0.45,44.9,19.58,16.72,82.75,0.53,700,30,20,22.08,89.97,3.03,5.65,1.35,35.29,39.8,40.46,Liu et al. 2018,,,
49.1,5.55,0.45,44.9,19.58,16.72,82.75,0.53,800,30,20,20.78,92.21,1.71,4.91,1.17,33.8,35.87,39.02,Liu et al. 2018,,,
48.15,6.7,1.35,43.6,18.67,13.15,85.45,1.4,200,20,15,91,51.16,6.54,40.79,1.33,16.54,80.61,96.69,Liu and Han. 2015,,,
48.15,6.7,1.35,43.6,18.67,13.15,85.45,1.4,225,20,15,89.17,51.74,6.5,40.25,1.34,16.99,81.17,95.82,Liu and Han. 2015,,,
48.15,6.7,1.35,43.6,18.67,13.15,85.45,1.4,250,20,15,79.19,52,6.35,40.14,1.34,16.38,69.49,85.52,Liu and Han. 2015,,,
48.15,6.7,1.35,43.6,18.67,13.15,85.45,1.4,275,20,15,72,53.37,6.2,38.6,1.65,17.41,67.17,79.81,Liu and Han. 2015,,,
48.15,6.7,1.35,43.6,18.67,13.15,85.45,1.4,300,20,15,65.16,55.52,6.07,36.51,1.68,19.21,67.05,75.13,Liu and Han. 2015,,,
48.15,6.7,1.35,43.6,18.67,13.15,85.45,1.4,330,20,15,61.42,59.86,5.81,32.53,1.6,22.43,73.81,76.36,Liu and Han. 2015,,,
50.21,5.63,1.23,42.93,20.18,16.05,82.72,1.23,300,10,10,49.3,68.56,3.85,26.54,0.92,21.62,52.8,67.32,Chen et al. 2015,,,
50.21,5.63,1.23,42.93,20.18,16.05,82.72,1.23,400,10,10,30.7,74.64,3.48,20.8,0.94,25.81,39.26,45.64,Chen et al. 2015,,,
50.21,5.63,1.23,42.93,20.18,16.05,82.72,1.23,500,10,10,26,79.12,2.53,17.19,1.03,26.75,34.45,40.97,Chen et al. 2015,,,
50.21,5.63,1.23,42.93,20.18,16.05,82.72,1.23,600,10,10,24.3,83.95,1.67,13.23,1.01,28.56,34.38,40.63,Chen et al. 2015,,,
50.21,5.63,1.23,42.93,20.18,16.05,82.72,1.23,700,10,10,23.6,88.34,1.26,9.2,1.06,30.91,36.14,41.52,Chen et al. 2015,,,
47.66,6.18,0.15,46.01,18.54,17.14,81.26,1.6,200,60,10,95.89,48.56,6.11,45.17,0.16,9.19,47.51,97.7,"Zhang et al., 2017",,,
47.66,6.18,0.15,46.01,18.54,17.14,81.26,1.6,300,60,10,46.67,63.06,5.44,31.33,0.17,22.58,56.85,61.75,"Zhang et al., 2017",,,
47.66,6.18,0.15,46.01,18.54,17.14,81.26,1.6,400,60,10,33.07,74.69,4.17,20.95,0.19,27.89,49.76,51.83,"Zhang et al., 2017",,,
47.66,6.18,0.15,46.01,18.54,17.14,81.26,1.6,500,60,10,29.43,84.2,3.4,12.15,0.25,32.54,51.66,51.99,"Zhang et al., 2017",,,
47.66,6.18,0.15,46.01,18.54,17.14,81.26,1.6,600,60,10,27.84,86.42,2.61,10.7,0.27,31.89,47.9,50.48,"Zhang et al., 2017",,,
47.66,6.18,0.15,46.01,18.54,17.14,81.26,1.6,700,60,10,27.1,88.15,1.77,9.64,0.44,31.36,45.85,50.12,"Zhang et al., 2017",,,
47.66,6.18,0.15,46.01,18.54,17.14,81.26,1.6,800,60,10,26.3,89.63,1.44,8.46,0.47,31.8,45.11,49.46,"Zhang et al., 2017",,,
42.62,6.36,2.08,44.78,16.02,27.8,68.2,4,250,30,5,72.1,52.95,5.71,31.65,2.85,20.85,93.85,89.58,Tag et al. 2016,,,
42.62,6.36,2.08,44.78,16.02,27.8,68.2,4,300,30,5,51.1,56.83,5.17,25.47,2.99,23.71,75.66,68.14,Tag et al. 2016,,,
42.62,6.36,2.08,44.78,16.02,27.8,68.2,4,350,30,5,43.2,64.93,4.54,16.78,2.42,27.95,75.39,65.81,Tag et al. 2016,,,
42.62,6.36,2.08,44.78,16.02,27.8,68.2,4,500,30,5,30.6,63.78,3.09,15.74,3.19,23.53,44.97,45.79,Tag et al. 2016,,,
42.62,6.36,2.08,44.78,16.02,27.8,68.2,4,600,30,5,27.6,68.05,2.38,10.35,2.92,24.96,43.02,44.07,Tag et al. 2016,,,
45.92,6.21,6.9,40.09,18.19,17.67,75.28,7.05,400,30,5,38.4,64.05,8.48,18.37,8.58,47.79,100.88,53.56,"Ucar & Ozkan, 2008",,,
45.92,6.21,6.9,40.09,18.19,17.67,75.28,7.05,450,30,5,34.66,64.26,8.55,17.83,8.82,48.57,92.55,48.5,"Ucar & Ozkan, 2008",,,
45.92,6.21,6.9,40.09,18.19,17.67,75.28,7.05,500,30,5,33.23,66.8,8.72,14.84,9.05,51.71,94.46,48.34,"Ucar & Ozkan, 2008",,,
39.7,7.63,1.13,38.8,13.88,16.12,76.26,7.63,300,30,10,69.35,52.64,6.75,27.4,0.88,29.05,145.19,91.95,Liu et al. 2018,,,
39.7,7.63,1.13,38.8,13.88,16.12,76.26,7.63,400,30,10,38.66,65.89,5.35,17.34,0.86,31.25,87.08,64.16,Liu et al. 2018,,,
39.7,7.63,1.13,38.8,13.88,16.12,76.26,7.63,500,30,10,33.18,71.69,3.39,10.76,1.08,28.39,67.89,59.92,Liu et al. 2018,,,
39.7,7.63,1.13,38.8,13.88,16.12,76.26,7.63,600,30,10,32.96,70.92,2.36,8.57,0.67,26.25,62.35,58.88,Liu et al. 2018,,,
39.7,7.63,1.13,38.8,13.88,16.12,76.26,7.63,700,30,10,17.68,70.8,2.04,10.72,0.61,25.14,32.03,31.53,Liu et al. 2018,,,
43.92,5.92,0.49,42.54,16.74,7.49,86.09,6.42,300,30,10,68.22,51.82,5.29,33.81,0.62,16.99,69.23,80.49,He et al. 2018,,,
43.92,5.92,0.49,42.54,16.74,7.49,86.09,6.42,350,30,10,42.61,61.03,4.51,22.43,0.71,24.03,61.15,59.21,He et al. 2018,,,
43.92,5.92,0.49,42.54,16.74,7.49,86.09,6.42,400,30,10,38.29,65.01,3.98,16.83,0.75,26.02,59.5,56.68,He et al. 2018,,,
43.92,5.92,0.49,42.54,16.74,7.49,86.09,6.42,450,30,10,35.46,66.89,3.51,12.61,0.73,26.67,56.48,54.01,He et al. 2018,,,
43.92,5.92,0.49,42.54,16.74,7.49,86.09,6.42,500,30,10,32.68,67.13,2.83,10.98,0.72,25.46,49.69,49.95,He et al. 2018,,,
43.92,5.92,0.49,42.54,16.74,7.49,86.09,6.42,550,30,10,31.92,70.09,2.48,7.54,0.71,26.42,50.36,50.94,He et al. 2018,,,
43.92,5.92,0.49,42.54,16.74,7.49,86.09,6.42,600,30,10,32.5,72.02,2.02,4.99,0.68,26.6,51.62,53.29,He et al. 2018,,,
36.71,7.77,1.19,41.55,12.27,17.96,77.67,4.38,300,30,10,75.72,51.56,4.7,35.36,1.4,13.25,81.72,106.35,Liu et al. 2018,,,
36.71,7.77,1.19,41.55,12.27,17.96,77.67,4.38,400,30,10,42.73,63.69,3.59,17.86,1.34,24,83.55,74.13,Liu et al. 2018,,,
36.71,7.77,1.19,41.55,12.27,17.96,77.67,4.38,500,30,10,39.97,69.1,2.57,13.71,1.01,24.7,80.42,75.24,Liu et al. 2018,,,
36.71,7.77,1.19,41.55,12.27,17.96,77.67,4.38,600,30,10,36.68,70.79,1.7,8.12,0.72,25.21,75.34,70.73,Liu et al. 2018,,,
36.71,7.77,1.19,41.55,12.27,17.96,77.67,4.38,700,30,10,33.12,65.66,1.94,9.32,0.28,23.7,63.94,59.24,Liu et al. 2018,,,
43.95,5.81,1.12,41.12,16.86,10.17,82.38,7.45,300,30,10,72.85,48.89,5.11,36.12,1.27,13.6,58.77,81.04,He et al. 2018,,,
43.95,5.81,1.12,41.12,16.86,10.17,82.38,7.45,350,30,10,50.92,57.21,4.46,23.35,1.28,22.29,67.33,66.28,He et al. 2018,,,
43.95,5.81,1.12,41.12,16.86,10.17,82.38,7.45,400,30,10,42.82,61.35,3.62,17.52,1.51,23.56,59.83,59.77,He et al. 2018,,,
43.95,5.81,1.12,41.12,16.86,10.17,82.38,7.45,450,30,10,36.65,62.38,3.18,13.32,1.47,24.2,52.61,52.02,He et al. 2018,,,
43.95,5.81,1.12,41.12,16.86,10.17,82.38,7.45,500,30,10,34.98,65.12,2.68,10.08,1.46,24.74,51.33,51.83,He et al. 2018,,,
43.95,5.81,1.12,41.12,16.86,10.17,82.38,7.45,550,30,10,35.96,66.86,2.43,8.99,1.33,25,53.33,54.71,He et al. 2018,,,
43.95,5.81,1.12,41.12,16.86,10.17,82.38,7.45,600,30,10,35.67,67.51,2.05,4.87,1.3,25.21,53.33,54.79,He et al. 2018,,,
43.95,5.81,1.12,41.12,16.86,9.98,82.63,7.39,300,30,10,73.82,48.9,5.08,36.2,1.26,13.41,58.71,82.13,Hong et al. 2020,,,
43.95,5.81,1.12,41.12,16.86,9.98,82.63,7.39,350,30,10,45.72,57.18,4.5,23.3,1.27,22.46,60.9,59.48,Hong et al. 2020,,,
43.95,5.81,1.12,41.12,16.86,9.98,82.63,7.39,400,30,10,40.52,61.32,3.65,17.62,1.5,23.6,56.7,56.53,Hong et al. 2020,,,
43.95,5.81,1.12,41.12,16.86,9.98,82.63,7.39,450,30,10,38.32,62.4,3.2,13.01,1.46,24.36,55.37,54.41,Hong et al. 2020,,,
43.95,5.81,1.12,41.12,16.86,9.98,82.63,7.39,500,30,10,36.01,65.15,2.71,10.02,1.45,24.83,53.03,53.38,Hong et al. 2020,,,
43.95,5.81,1.12,41.12,16.86,9.98,82.63,7.39,550,30,10,34.98,66.9,2.45,9,1.33,25.05,51.98,53.25,Hong et al. 2020,,,
43.95,5.81,1.12,41.12,16.86,9.98,82.63,7.39,600,30,10,35.89,67.48,2.02,4.76,1.3,25.16,53.56,55.1,Hong et al. 2020,,,
55.82,5.62,0.84,37.73,23.06,20.32,75.82,3.86,500,60,10,32.2,87.85,2.91,8.14,1.11,33.72,47.09,50.68,Lee et al. 2013,,,
50.52,5.81,0.23,43.44,20.18,11.73,87.83,0.44,500,60,10,22.3,89.31,2.57,7.34,0.78,33.71,37.25,39.42,Lee et al. 2013,,,
53.42,6.12,1.4,39.06,21.65,18,76.56,5.44,500,60,10,31.9,84.84,3.13,10.2,1.83,32.6,48.05,50.66,Lee et al. 2013,,,
40.8,4.1,3.9,42,16.21,5.59,84.56,9.86,300,30,5,52.3,51.7,5,21.2,2.9,24.13,77.89,66.27,Patra et al. 2021,,,
40.8,4.1,3.9,42,16.21,5.59,84.56,9.86,400,30,5,33.8,53.5,4.8,14.7,2.6,26.6,55.47,44.32,Patra et al. 2021,,,
40.8,4.1,3.9,42,16.21,5.59,84.56,9.86,500,30,5,32.6,57,4,10.9,2.5,25.81,51.93,45.54,Patra et al. 2021,,,
