C (wt%),H (wt%),N (wt%),O (wt%),Bio_HHV,FC (%),VM (%),Ash (%),T (°C),RT (min),HT (°C/min),Yield_char (%),C_char (%),H_char (%),O_char (%),N_char (%),Char_HHV,ER,CR,REF,https://doi.org/10.1016/j.enconman.2020.113258,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,370,45,20,33.06,67.44,4.32,1.2,1.09,26.31,45.96,71.33,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,370,5,50,33.23,65.29,4.45,1.32,1.09,25.52,44.81,69.41,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,370,15,50,30.82,69.89,4.25,1.14,0.99,27.16,44.23,68.9,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,370,45,50,30.35,69.55,4.15,1.09,0.97,27,43.28,67.51,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,410,5,5,34.45,69.76,4.17,1.19,0.87,26.85,48.88,76.88,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,410,15,5,33.75,69.93,3.99,1.16,0.84,26.69,47.58,75.49,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,410,45,5,32.89,70.86,3.85,1.08,0.86,26.96,46.85,74.55,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,410,5,20,32.33,67.71,4.18,1.17,1.02,26.24,44.82,70.02,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,410,15,20,31.71,69.72,3.94,1.05,0.91,26.81,44.93,70.73,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,410,45,20,29.12,69.35,3.85,1.08,1.07,26.46,40.71,64.61,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,410,5,50,30.69,68.71,4.15,1.07,1.15,26.78,43.43,67.45,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,410,15,50,29.88,69.42,3.89,0.99,1.18,26.78,42.27,66.35,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,410,45,50,28.53,72.02,3.8,0.96,0.92,27.55,41.53,65.73,,,,
31.26,44.18,0.27,24.3,18.93,7.38,83.12,2.41,450,5,5,31.13,73.86,3.78,0.86,0.94,28.36,46.65,73.54,,,,
