Biomass type,C (%),H (%),N (%),O (%),WC (%),VM (%),FC (%),Ash (%),T (°C),RT (min),Char_yield (%),Char_C (%),Char_H (%),Char_N (%),Char_O (%),HHV (MJ/kg),ER (%),CR (%),Reference
Food waste,52.76,5.56,1.89,34.39,89.00,72.60,22.00,5.40,260,120,46.59,64.90,4.92,0.76,25.09,24.49,67.31,61.52,
Food waste,42.75,5.88,1.98,44.09,83.00,41.00,53.70,5.30,220,10,64.33,61.61,5.85,2.16,27.93,24.23,79.37,75.12,
Food waste,42.75,5.88,1.98,44.09,80.00,41.00,53.70,5.30,220,10,69.40,61.89,6.09,2.17,27.23,24.70,87.28,81.41,
Food waste,42.75,5.88,1.98,44.09,80.00,41.00,53.70,5.30,220,10,75.25,61.30,5.82,2.15,26.97,24.23,92.84,87.43,
Food waste,42.75,5.88,1.98,44.09,80.00,41.00,53.70,5.30,220,10,73.60,61.28,5.87,2.14,26.96,24.33,91.16,85.49,
Food waste,42.75,5.88,1.98,44.09,83.00,41.00,53.70,5.30,220,20,51.59,56.59,5.42,2.64,30.18,21.51,74.04,68.29,
Food waste,42.75,5.88,1.98,44.09,80.00,41.00,53.70,5.30,220,20,55.76,56.76,5.16,2.65,29.52,21.35,79.42,74.03,
Food waste,42.75,5.88,1.98,44.09,80.00,41.00,53.70,5.30,220,20,57.47,56.22,5.39,2.62,29.23,21.55,82.64,75.58,
Food waste,42.75,5.88,1.98,44.09,80.00,41.00,53.70,5.30,220,20,57.54,58.31,5.15,2.72,26.43,22.29,85.59,78.49,
Manure,35.70,5.27,9.61,41.22,30.00,68.30,23.50,8.20,225,120,42.21,57.57,4.65,4.03,27.63,21.24,73.22,68.06,
Manure,35.70,5.27,9.61,41.22,30.00,68.30,23.50,8.20,250,120,40.15,63.87,5.43,5.22,19.59,25.91,84.95,71.84,
Manure,35.70,5.27,9.61,41.22,30.00,68.30,23.50,8.20,275,120,32.76,62.01,6.30,5.79,21.50,26.11,69.86,56.90,
Manure,35.70,5.27,9.61,41.22,30.00,68.30,23.50,8.20,300,120,53.16,53.57,3.71,5.62,24.29,19.01,82.53,79.77,
Manure,34.26,4.83,2.67,17.04,70.00,39.40,19.40,41.20,200,120,58.76,33.77,4.22,2.36,15.31,14.67,55.85,57.92,
Manure,34.26,4.83,2.67,17.04,70.00,39.40,19.40,41.20,220,120,42.30,26.59,3.10,1.86,12.41,11.19,30.67,32.83,
Manure,34.26,4.83,2.67,17.04,70.00,39.40,19.40,41.20,240,120,47.59,25.77,2.99,1.80,10.65,11.04,34.04,35.80,
Manure,40.85,6.30,3.73,31.72,86.00,81.51,1.09,17.40,220,600,49.78,51.51,6.27,3.00,17.86,23.14,67.21,62.77,
Manure,39.57,5.78,3.37,34.12,80.00,81.41,1.43,17.16,180,600,66.38,46.22,5.74,3.24,23.42,19.59,83.67,77.54,
Manure,39.57,5.78,3.37,34.12,80.00,81.41,1.43,17.16,200,600,61.56,46.84,5.66,2.73,19.99,20.40,80.79,72.87,
Manure,39.57,5.78,3.37,34.12,80.00,81.41,1.43,17.16,220,600,55.54,50.64,5.44,2.95,17.56,21.76,77.76,71.08,
Manure,39.57,5.78,3.37,34.12,95.00,81.41,1.43,17.16,200,240,58.34,39.74,4.21,1.39,48.75,10.71,59.69,64.03,
Manure,36.21,5.14,2.39,51.16,95.00,70.72,24.18,5.10,220,240,51.55,41.60,4.16,1.94,38.83,13.12,64.60,59.22,
Manure,36.21,5.14,2.39,51.16,95.00,70.72,24.18,5.10,240,240,49.60,42.00,4.10,1.96,38.64,13.18,62.49,57.53,
Manure,36.21,5.14,2.39,51.16,95.00,70.72,24.18,5.10,260,240,44.41,42.14,4.00,1.97,38.21,13.15,55.81,51.68,
Manure,36.21,5.14,2.39,51.16,95.00,70.72,24.18,5.10,280,240,43.48,41.59,3.99,1.94,38.82,12.86,53.45,49.94,
Manure,44.80,5.20,2.30,31.25,83.00,74.14,9.41,16.45,180,5,93.60,46.50,5.19,2.17,29.14,17.94,98.77,97.15,
Manure,44.80,5.20,2.30,31.25,83.00,74.14,9.41,16.45,220,5,66.60,49.20,5.21,1.72,22.30,20.09,78.74,73.14,
Manure,44.80,5.20,2.30,31.25,83.00,74.14,9.41,16.45,260,5,48.30,52.10,5.21,1.82,17.37,21.90,62.23,56.17,
Manure,44.80,5.20,2.30,31.25,83.00,74.14,9.41,16.45,180,30,84.00,46.60,5.20,2.17,27.34,18.27,90.32,87.38,
Manure,44.80,5.20,2.30,31.25,83.00,74.14,9.41,16.45,220,30,69.80,50.40,5.29,2.35,19.49,21.18,86.99,78.53,
Manure,44.80,5.20,2.30,31.25,83.00,74.14,9.41,16.45,260,30,50.80,54.00,5.22,2.52,12.96,23.36,69.83,61.23,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,150,30,87.17,44.04,5.73,3.08,34.64,16.85,88.44,90.93,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,175,30,75.36,42.74,5.63,4.49,30.77,16.96,76.93,76.29,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,200,30,41.80,51.39,6.00,3.60,23.98,21.67,54.54,50.88,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,225,30,38.39,50.93,5.86,3.57,20.37,21.93,50.68,46.31,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,250,30,32.74,55.23,5.57,5.15,5.89,25.51,50.28,42.83,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,275,30,26.37,50.21,4.77,4.10,6.69,22.53,35.77,31.36,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,300,30,29.51,57.55,5.56,4.70,0.77,27.21,48.34,40.23,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,150,120,80.46,42.92,5.54,4.01,31.47,16.82,81.49,81.79,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,175,120,41.94,48.45,5.77,3.39,27.78,19.63,49.57,48.13,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,200,120,45.76,52.04,6.03,3.64,21.51,22.29,61.40,56.40,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,225,120,35.41,51.92,5.58,4.24,14.54,22.95,48.93,43.55,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,250,120,32.76,56.89,5.64,5.31,6.07,26.14,51.56,44.14,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,275,120,30.08,55.25,5.34,4.51,5.16,25.34,45.89,39.36,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,300,120,25.74,53.64,5.14,4.38,3.58,24.82,38.46,32.70,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,150,480,71.36,45.10,5.68,4.21,29.47,18.14,77.94,76.23,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,175,480,45.15,52.16,5.78,3.65,23.65,21.64,58.82,55.78,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,200,480,39.88,52.34,5.67,3.66,17.45,22.72,54.55,49.44,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,225,480,33.34,52.66,5.22,4.30,10.53,23.33,46.83,41.58,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,250,480,32.75,56.43,5.50,4.61,6.02,25.85,50.98,43.77,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,275,480,28.34,54.88,5.17,4.48,5.12,25.07,42.77,36.84,
Manure,42.22,5.59,4.19,31.63,37.00,72.95,10.67,16.37,300,480,23.13,49.83,4.44,4.07,3.99,22.44,31.25,27.30,
Manure,46.40,6.30,3.00,30.99,90.00,64.05,22.64,13.31,170,60,63.00,48.20,6.19,2.25,32.78,19.33,63.59,65.44,
Manure,46.40,6.30,3.00,30.99,90.00,64.05,22.64,13.31,250,60,51.00,55.70,6.08,2.60,17.08,24.50,65.24,61.22,
Manure,46.40,6.30,3.00,30.99,90.00,64.05,22.64,13.31,350,60,29.00,52.50,5.21,2.45,9.10,23.52,35.62,32.81,
Manure,46.40,6.30,3.00,30.99,90.00,64.05,22.64,13.31,500,30,18.00,49.70,2.69,2.32,4.64,19.78,18.60,19.28,
Manure,46.40,6.30,3.00,30.99,90.00,64.05,22.64,13.31,170,60,44.00,50.10,6.68,3.51,28.72,21.34,50.32,50.21,
Manure,46.40,6.30,3.00,30.99,90.00,64.05,22.64,13.31,250,60,32.00,59.90,6.49,4.89,12.78,27.25,46.74,43.66,
Manure,46.40,6.30,3.00,30.99,90.00,64.05,22.64,13.31,350,60,15.00,54.70,5.61,3.83,6.56,25.33,20.37,18.69,
Manure,46.40,6.30,3.00,30.99,90.00,64.05,22.64,13.31,500,30,11.00,48.90,3.02,2.85,3.26,20.24,11.93,12.25,
Manure,40.88,5.47,4.39,38.76,83.30,60.20,29.30,10.50,220,30,53.03,51.75,5.35,4.23,27.60,20.22,72.84,67.13,
Manure,40.88,5.47,4.39,38.76,80.00,60.20,29.30,10.50,220,30,58.68,50.96,5.27,4.16,27.86,19.76,78.78,73.15,
Manure,40.88,5.47,4.39,38.76,80.00,60.20,29.30,10.50,220,30,59.46,50.11,5.39,4.68,28.06,19.58,79.08,72.88,
Manure,40.88,5.47,4.39,38.76,80.00,60.20,29.30,10.50,220,30,62.45,49.96,5.20,4.66,28.64,19.22,81.55,76.32,
Manure,40.85,6.30,3.73,31.72,87.50,81.51,1.09,17.40,220,600,49.78,51.51,6.27,3.00,17.86,23.20,67.38,62.77,
Manure,44.80,5.20,2.30,30.97,83.30,74.81,8.46,16.73,180,5,93.60,46.50,5.19,2.17,29.14,17.94,98.48,97.15,
Manure,44.80,5.20,2.30,30.97,83.30,74.81,8.46,16.73,220,5,66.60,49.20,5.21,1.72,22.30,20.09,78.51,73.14,
Manure,44.80,5.20,2.30,30.97,83.30,74.81,8.46,16.73,260,5,48.30,52.10,5.21,1.82,17.37,21.89,62.03,56.17,
Manure,44.80,5.20,2.30,30.97,83.30,74.81,8.46,16.73,180,30,84.00,46.60,5.20,2.17,27.34,18.27,90.04,87.38,
Manure,44.80,5.20,2.30,30.97,83.30,74.81,8.46,16.73,220,30,69.80,50.40,5.29,2.35,19.49,21.17,86.71,78.53,
Manure,44.80,5.20,2.30,30.97,83.30,74.81,8.46,16.73,260,30,50.80,54.00,5.22,2.52,12.96,23.37,69.65,61.23,
Lignin/cellulose,47.11,6.71,0.22,43.50,80.00,80.02,17.58,2.40,200,30,58.60,52.12,6.31,0.18,39.46,20.94,59.68,64.83,
Lignin/cellulose,47.11,6.71,0.22,43.50,80.00,80.02,17.58,2.40,230,30,50.60,58.08,6.12,0.25,33.25,23.68,58.28,62.38,
Lignin/cellulose,47.11,6.71,0.22,43.50,80.00,80.02,17.58,2.40,260,30,38.10,67.51,5.58,0.35,22.44,27.98,51.85,54.60,
Lignin/cellulose,45.12,5.77,0.41,45.19,87.70,79.34,17.15,3.51,180,240,67.90,48.05,5.35,0.36,43.79,18.92,71.87,72.31,
Lignin/cellulose,45.12,5.77,0.41,45.19,87.70,79.34,17.15,3.51,200,240,62.24,50.10,5.25,0.39,41.65,19.70,68.59,69.11,
Lignin/cellulose,45.12,5.77,0.41,45.19,87.70,79.34,17.15,3.51,220,60,58.59,55.62,5.26,0.37,36.21,21.98,72.04,72.22,
Lignin/cellulose,45.12,5.77,0.41,45.19,87.70,79.34,17.15,3.51,220,120,56.26,61.21,5.24,0.38,30.65,24.47,77.02,76.32,
Lignin/cellulose,45.12,5.77,0.41,45.19,87.70,79.34,17.15,3.51,220,240,51.22,62.64,5.21,0.41,28.86,25.14,72.04,71.11,
Lignin/cellulose,45.12,5.77,0.41,45.19,87.70,79.34,17.15,3.51,220,720,49.78,67.36,5.00,0.40,24.29,27.24,75.86,74.32,
Lignin/cellulose,45.12,5.77,0.41,45.19,87.70,79.34,17.15,3.51,220,1440,48.75,68.45,4.90,0.38,22.62,27.69,75.52,73.96,
Lignin/cellulose,45.12,5.77,0.41,45.19,87.70,79.34,17.15,3.51,240,240,46.23,65.27,4.92,0.35,26.15,26.10,67.50,66.88,
Lignin/cellulose,45.12,5.77,0.41,45.19,87.70,79.34,17.15,3.51,260,240,44.17,73.16,4.96,0.30,18.32,30.17,74.55,71.62,
Lignin/cellulose,48.30,6.66,1.00,40.56,90.90,85.98,10.89,3.14,150,20,76.00,49.58,5.88,0.92,43.30,19.77,77.35,78.01,
Lignin/cellulose,48.30,6.66,1.00,40.56,90.90,85.98,10.89,3.14,250,20,62.00,54.30,4.19,1.02,38.30,20.90,66.71,69.70,
Lignin/cellulose,48.30,6.66,1.00,40.56,90.90,85.98,10.89,3.14,350,20,49.00,66.02,4.19,1.12,28.27,25.68,64.78,66.98,
Lignin/cellulose,40.53,4.93,0.55,45.67,90.90,84.75,6.98,8.30,160,120,78.50,45.10,5.16,0.50,49.29,17.04,81.88,87.35,
Lignin/cellulose,40.53,4.93,0.55,45.67,90.90,84.75,6.98,8.30,180,120,75.20,48.20,5.22,0.40,43.99,17.98,82.76,89.43,
Lignin/cellulose,40.53,4.93,0.55,45.67,90.90,84.75,6.98,8.30,200,120,61.80,50.39,5.15,0.40,43.15,18.55,70.17,76.83,
Lignin/cellulose,40.53,4.93,0.55,45.67,90.90,84.75,6.98,8.30,200,240,56.30,53.09,5.10,0.30,41.28,19.44,66.99,73.75,
Lignin/cellulose,40.53,4.93,0.55,45.67,90.90,84.75,6.98,8.30,200,480,51.50,56.09,5.05,0.20,37.92,20.35,64.15,71.27,
Lignin/cellulose,40.53,4.93,0.55,45.67,90.90,84.75,6.98,8.30,200,720,50.50,59.99,5.11,0.20,32.45,21.52,66.52,74.75,
Lignin/cellulose,40.53,4.93,0.55,45.67,90.90,84.75,6.98,8.30,200,1440,45.60,60.00,5.18,0.10,32.45,21.21,59.20,67.51,
Lignin/cellulose,46.18,5.89,0.25,45.00,93.80,90.40,6.72,2.87,180,60,73.12,49.42,5.86,0.20,42.86,19.59,78.35,78.25,
Lignin/cellulose,46.18,5.89,0.25,45.00,93.80,90.40,6.72,2.87,200,60,53.72,52.25,5.86,0.18,42.77,20.80,61.12,60.78,
Lignin/cellulose,46.18,5.89,0.25,45.00,93.80,90.40,6.72,2.87,220,60,51.21,52.96,5.81,0.19,39.74,21.09,59.08,58.73,
Lignin/cellulose,43.40,5.91,1.50,45.97,95.20,83.02,15.99,0.99,180,60,48.00,48.00,6.14,2.03,38.64,19.31,53.37,53.09,
Lignin/cellulose,43.40,5.91,1.50,45.97,95.20,83.02,15.99,0.99,180,120,43.00,50.70,6.01,1.76,40.28,20.38,50.46,50.23,
Lignin/cellulose,43.40,5.91,1.50,45.97,95.20,83.02,15.99,0.99,180,180,41.00,51.70,6.05,1.69,38.33,20.85,49.22,48.84,
Lignin/cellulose,43.40,5.91,1.50,45.97,95.20,83.02,15.99,0.99,180,240,47.00,53.70,5.92,1.59,33.56,21.68,58.67,58.15,
Lignin/cellulose,43.40,5.91,1.50,45.97,95.20,83.02,15.99,0.99,200,60,56.00,53.10,6.07,1.92,37.12,21.53,69.42,68.52,
Lignin/cellulose,43.40,5.91,1.50,45.97,95.20,83.02,15.99,0.99,200,120,42.00,53.70,6.14,1.76,37.54,21.79,52.69,51.97,
Lignin/cellulose,43.40,5.91,1.50,45.97,95.20,83.02,15.99,0.99,200,180,43.00,55.20,5.94,1.61,35.08,22.38,55.41,54.69,
Lignin/cellulose,43.40,5.91,1.50,45.97,95.20,83.02,15.99,0.99,200,240,44.00,56.50,5.85,1.63,31.12,22.92,58.07,57.28,
Lignin/cellulose,43.40,5.91,1.50,45.97,95.20,83.02,15.99,0.99,220,60,44.00,55.10,5.70,1.59,36.77,22.15,56.12,55.86,
Lignin/cellulose,43.40,5.91,1.50,45.97,95.20,83.02,15.99,0.99,220,120,43.00,56.80,6.03,1.67,33.69,23.16,57.34,56.28,
Lignin/cellulose,43.40,5.91,1.50,45.97,95.20,83.02,15.99,0.99,220,180,40.00,57.90,5.83,1.85,31.89,23.62,54.40,53.36,
Lignin/cellulose,43.40,5.91,1.50,45.97,95.20,83.02,15.99,0.99,220,240,37.00,60.80,5.88,2.09,26.40,25.07,53.41,51.83,
Lignin/cellulose,43.70,5.45,0.56,45.86,50.00,82.30,13.30,4.34,160,30,86.59,45.20,5.98,0.65,41.27,17.95,89.56,89.56,
Lignin/cellulose,43.70,5.45,0.56,45.86,50.00,82.30,13.30,4.34,180,30,79.77,47.00,5.63,0.45,40.44,18.59,85.45,85.79,
Lignin/cellulose,43.70,5.45,0.56,45.86,50.00,82.30,13.30,4.34,200,30,71.09,50.40,5.59,0.49,36.49,19.94,81.68,81.99,
Lignin/cellulose,43.70,5.45,0.56,45.86,50.00,82.30,13.30,4.34,220,30,64.22,52.50,5.57,0.39,33.06,20.80,76.97,77.15,
Lignin/cellulose,43.70,5.45,0.56,45.86,50.00,82.30,13.30,4.34,240,30,60.34,57.10,5.27,0.41,26.37,22.64,78.72,78.84,
Lignin/cellulose,43.70,5.45,0.56,45.86,50.00,82.30,13.30,4.34,260,30,55.50,62.60,5.31,0.45,20.37,25.24,80.72,79.50,
Lignin/cellulose,48.30,8.10,2.20,25.20,90.90,73.00,6.90,20.10,180,30,86.10,53.70,8.47,1.10,16.25,22.94,99.09,95.73,
Lignin/cellulose,48.30,8.10,2.20,25.20,90.90,73.00,6.90,20.10,200,30,82.90,54.50,8.59,1.10,15.07,23.46,97.57,93.54,
Lignin/cellulose,48.30,8.10,2.20,25.20,90.90,73.00,6.90,20.10,220,30,78.00,52.70,8.13,1.20,15.95,22.18,86.80,85.11,
Lignin/cellulose,48.30,8.10,2.20,25.20,90.90,73.00,6.90,20.10,240,30,77.70,51.80,7.82,1.20,17.03,21.56,84.04,83.33,
Lignin/cellulose,48.30,8.10,2.20,25.20,90.90,73.00,6.90,20.10,260,30,74.80,51.70,7.80,1.40,17.26,21.53,80.80,80.07,
Lignin/cellulose,48.30,8.10,2.20,25.20,90.90,73.00,6.90,20.10,280,30,72.50,50.40,7.52,1.20,17.36,20.71,75.33,75.65,
Lignin/cellulose,48.30,8.10,2.20,25.20,90.90,73.00,6.90,20.10,300,30,70.70,50.40,7.52,1.30,17.88,20.72,73.49,73.77,
Lignin/cellulose,46.47,6.98,3.16,38.35,90.90,81.39,13.41,5.20,150,40,61.19,48.15,6.65,2.19,42.52,19.51,63.03,63.40,
Lignin/cellulose,46.47,6.98,3.16,38.35,90.90,81.39,13.41,5.20,200,40,41.70,54.80,6.34,2.89,35.73,22.55,49.65,49.17,
Lignin/cellulose,46.47,6.98,3.16,38.35,90.90,81.39,13.41,5.20,250,40,34.23,68.36,6.37,3.22,22.00,29.88,54.00,50.35,
Lignin/cellulose,36.65,5.86,3.53,34.20,90.90,68.42,11.82,19.76,180,60,47.81,45.90,5.87,3.02,32.12,18.53,58.07,59.88,
Lignin/cellulose,36.65,5.86,3.53,34.20,90.90,68.42,11.82,19.76,210,60,47.95,47.21,5.51,3.35,26.87,19.03,59.81,61.77,
Lignin/cellulose,36.65,5.86,3.53,34.20,90.90,68.42,11.82,19.76,240,60,33.18,50.31,4.99,4.07,21.60,20.18,43.89,45.55,
Lignin/cellulose,36.65,5.86,3.53,34.20,90.90,68.42,11.82,19.76,270,60,28.82,51.24,4.67,3.97,20.08,20.41,38.56,40.29,
Lignin/cellulose,36.65,5.86,3.53,34.20,90.90,68.42,11.82,19.76,210,10,53.71,44.87,5.52,3.18,30.98,18.13,63.83,65.76,
Lignin/cellulose,36.65,5.86,3.53,34.20,90.90,68.42,11.82,19.76,210,30,51.66,47.21,5.66,2.90,29.52,19.00,64.34,66.54,
Lignin/cellulose,36.65,5.86,3.53,34.20,90.90,68.42,11.82,19.76,210,90,42.91,46.57,5.36,3.09,28.25,18.73,52.68,54.52,
Lignin/cellulose,50.60,5.62,0.12,43.49,90.90,82.54,17.29,0.17,200,120,71.00,56.87,5.75,0.17,37.15,22.84,81.11,79.80,
Lignin/cellulose,50.60,5.62,0.12,43.49,90.90,82.54,17.29,0.17,200,240,73.00,60.60,5.86,0.19,33.33,24.73,90.30,87.43,
Lignin/cellulose,50.60,5.62,0.12,43.49,88.90,82.54,17.29,0.17,200,240,70.00,61.37,5.86,0.19,32.18,25.11,87.92,84.90,
Lignin/cellulose,50.60,5.62,0.12,43.49,83.30,82.54,17.29,0.17,200,240,70.00,61.56,5.74,0.20,32.28,25.12,87.95,85.16,
Lignin/cellulose,50.60,5.62,0.12,43.49,90.90,82.54,17.29,0.17,180,240,75.00,57.70,6.02,0.18,36.20,23.43,87.89,85.52,
Lignin/cellulose,50.60,5.62,0.12,43.49,90.90,82.54,17.29,0.17,220,240,58.00,66.70,5.70,0.23,27.52,27.70,80.36,76.45,
Lignin/cellulose,47.75,5.61,0.90,37.41,90.90,80.90,11.00,8.10,200,30,57.22,62.47,5.28,0.90,24.96,25.19,76.11,74.86,
Lignin/cellulose,47.75,5.61,0.90,37.41,90.90,80.90,11.00,8.10,250,30,45.31,67.10,5.20,0.98,21.55,27.41,65.58,63.67,
Lignin/cellulose,47.75,5.61,0.90,37.41,90.90,80.90,11.00,8.10,300,30,40.63,73.22,5.08,1.13,16.06,30.52,65.47,62.30,
Lignin/cellulose,47.75,5.61,0.90,37.41,90.90,80.90,11.00,8.10,350,30,35.76,73.37,4.48,1.17,15.52,29.74,56.15,54.95,
Lignin/cellulose,47.75,5.61,0.90,37.41,90.90,80.90,11.00,8.10,375,30,35.54,78.20,4.32,1.23,7.35,31.97,59.99,58.20,
Lignin/cellulose,46.96,6.22,1.23,34.32,90.90,79.20,10.30,10.50,200,30,65.67,61.11,6.15,1.37,23.22,25.37,88.72,85.46,
Lignin/cellulose,46.96,6.22,1.23,34.32,90.90,79.20,10.30,10.50,250,30,46.30,62.30,5.45,1.44,23.68,25.36,62.52,61.42,
Lignin/cellulose,46.96,6.22,1.23,34.32,90.90,79.20,10.30,10.50,300,30,40.61,68.87,6.02,1.62,15.60,29.45,63.68,59.56,
Lignin/cellulose,46.96,6.22,1.23,34.32,90.90,79.20,10.30,10.50,350,30,30.86,70.50,5.98,1.60,10.30,30.28,49.76,46.33,
Lignin/cellulose,46.96,6.22,1.23,34.32,90.90,79.20,10.30,10.50,375,30,28.33,72.19,4.78,1.64,5.80,29.62,44.68,43.55,
Lignin/cellulose,50.31,6.24,0.07,43.15,83.30,86.50,13.27,0.23,175,30,88.37,51.34,6.18,0.07,42.27,20.52,90.30,90.18,
Lignin/cellulose,50.31,6.24,0.07,43.15,83.30,86.50,13.27,0.23,200,10,82.50,51.21,6.42,0.06,42.17,20.54,84.39,83.98,
Lignin/cellulose,50.31,6.24,0.07,43.15,83.30,86.50,13.27,0.23,200,30,78.41,52.55,6.13,0.06,41.01,21.05,82.19,81.90,
Lignin/cellulose,50.31,6.24,0.07,43.15,83.30,86.50,13.27,0.23,200,60,73.23,53.69,5.86,0.06,40.06,21.44,78.19,78.15,
Lignin/cellulose,50.31,6.24,0.07,43.15,83.30,86.50,13.27,0.23,225,30,69.81,56.99,5.87,0.07,37.15,22.96,79.82,79.08,
Lignin/cellulose,48.94,6.35,0.11,44.32,83.30,89.46,10.26,0.28,175,30,79.44,49.42,6.35,0.12,43.86,19.74,80.36,80.22,
Lignin/cellulose,48.94,6.35,0.11,44.32,83.30,89.46,10.26,0.28,200,10,66.31,49.61,6.18,0.13,44.03,19.75,67.11,67.22,
Lignin/cellulose,48.94,6.35,0.11,44.32,83.30,89.46,10.26,0.28,200,30,64.66,51.25,6.18,0.11,42.23,20.48,67.86,67.71,
Lignin/cellulose,48.94,6.35,0.11,44.32,83.30,89.46,10.26,0.28,200,60,62.97,51.34,5.93,0.13,42.31,20.43,65.93,66.06,
Lignin/cellulose,48.94,6.35,0.11,44.32,83.30,89.46,10.26,0.28,225,30,58.29,56.92,5.83,0.09,37.11,22.92,68.46,67.79,
Lignin/cellulose,42.30,5.60,0.20,36.40,88.89,76.60,20.50,2.90,180,30,83.35,43.30,5.50,0.50,38.38,17.20,85.31,85.32,
Lignin/cellulose,42.30,5.60,0.20,36.40,88.89,76.60,20.50,2.90,190,30,79.29,45.70,5.38,0.50,35.39,18.07,85.26,85.66,
Lignin/cellulose,42.30,5.60,0.20,36.40,88.89,76.60,20.50,2.90,200,30,72.40,47.10,5.61,0.40,34.45,18.62,80.22,80.62,
Lignin/cellulose,42.30,5.60,0.20,36.40,88.89,76.60,20.50,2.90,210,30,68.75,47.90,5.39,0.50,34.62,18.90,77.32,77.85,
Lignin/cellulose,42.30,5.60,0.20,36.40,88.89,76.60,20.50,2.90,220,30,64.90,49.30,5.42,0.50,33.94,19.44,75.08,75.64,
Lignin/cellulose,42.30,5.60,0.20,36.40,88.89,76.60,20.50,2.90,230,30,56.78,49.70,5.40,0.40,31.65,19.59,66.19,66.71,
Lignin/cellulose,42.30,5.60,0.20,36.40,88.89,76.60,20.50,2.90,240,30,53.04,52.10,5.17,0.60,30.04,20.50,64.70,65.33,
Lignin/cellulose,42.30,5.60,0.20,36.40,88.89,76.60,20.50,2.90,250,30,44.61,58.00,5.07,0.70,24.96,22.95,60.92,61.17,
Lignin/cellulose,42.30,5.60,0.20,36.40,94.10,76.60,20.50,2.90,180,30,89.95,46.80,5.82,0.40,39.06,18.53,99.18,99.52,
Lignin/cellulose,42.30,5.60,0.20,36.40,94.10,76.60,20.50,2.90,190,30,82.03,48.20,5.81,0.50,36.91,19.11,93.28,93.47,
Lignin/cellulose,42.30,5.60,0.20,36.40,94.10,76.60,20.50,2.90,200,30,74.12,49.00,5.97,0.30,38.37,19.47,85.88,85.86,
Lignin/cellulose,42.30,5.60,0.20,36.40,94.10,76.60,20.50,2.90,210,30,71.07,49.20,5.60,0.50,37.26,19.46,82.30,82.66,
Lignin/cellulose,42.30,5.60,0.20,36.40,94.10,76.60,20.50,2.90,220,30,63.56,49.60,5.71,0.50,37.13,19.66,74.36,74.53,
Lignin/cellulose,42.30,5.60,0.20,36.40,94.10,76.60,20.50,2.90,230,30,63.77,50.40,5.47,0.50,35.13,19.92,75.59,75.98,
Lignin/cellulose,42.30,5.60,0.20,36.40,94.10,76.60,20.50,2.90,240,30,54.84,53.10,5.48,0.60,32.90,21.06,68.73,68.84,
Lignin/cellulose,42.30,5.60,0.20,36.40,94.10,76.60,20.50,2.90,250,30,47.84,56.50,5.39,0.80,28.69,22.51,64.08,63.90,
Lignin/cellulose,41.81,5.73,0.84,45.71,50.00,78.70,15.30,5.90,180,30,80.73,50.00,5.82,0.55,39.18,18.86,95.71,96.54,
Lignin/cellulose,41.81,5.73,0.84,45.71,50.00,78.70,15.30,5.90,200,30,73.13,51.86,5.76,0.82,37.26,19.60,90.10,90.71,
Lignin/cellulose,41.81,5.73,0.84,45.71,50.00,78.70,15.30,5.90,220,30,60.50,54.41,5.74,0.94,33.76,20.43,77.70,78.73,
Lignin/cellulose,41.81,5.73,0.84,45.71,50.00,78.70,15.30,5.90,180,60,79.28,50.52,5.81,0.88,38.49,19.16,95.49,95.80,
Lignin/cellulose,41.81,5.73,0.84,45.71,50.00,78.70,15.30,5.90,200,60,66.41,52.90,5.51,0.85,34.55,19.59,81.78,84.03,
Lignin/cellulose,41.81,5.73,0.84,45.71,50.00,78.70,15.30,5.90,220,60,57.64,54.73,5.47,0.88,32.76,20.25,73.37,75.45,
Lignin/cellulose,46.70,6.00,0.20,45.30,85.70,87.50,11.70,0.80,190,5,83.50,48.80,6.02,0.20,44.50,19.37,87.43,87.25,
Lignin/cellulose,46.70,6.00,0.20,45.30,85.70,87.50,11.70,0.80,225,5,66.90,49.60,5.99,0.30,41.86,19.72,71.31,71.05,
