Biomass type,C (%),H (%),N (%),O (%),WC (%),VM (%),FC (%),Ash (%),T (°C),RT (min),Char_yield (%),Char_C (%),Char_H (%),Char_N (%),Char_O (%),HHV (MJ/kg),ER (%),CR (%),Reference
Sludge,36.63,5.79,5.29,24.75,95.70,68.56,3.90,27.54,140,240,74.64,37.15,5.32,4.77,30.22,14.82,68.16,75.70,
Sludge,36.63,5.79,5.29,24.75,95.70,68.56,3.90,27.54,160,60,81.13,37.69,5.75,4.40,19.10,17.56,87.80,83.48,
Sludge,36.63,5.79,5.29,24.75,95.70,68.56,3.90,27.54,160,120,71.08,38.02,5.64,4.44,20.28,17.27,75.66,73.78,
Sludge,36.63,5.79,5.29,24.75,95.70,68.56,3.90,27.54,160,240,67.11,38.07,5.42,3.55,18.27,17.32,71.62,69.75,
Sludge,36.63,5.79,5.29,24.75,95.70,68.56,3.90,27.54,180,30,70.74,37.83,5.49,3.97,19.17,17.19,74.95,73.06,
Sludge,36.63,5.79,5.29,24.75,95.70,68.56,3.90,27.54,180,60,67.18,37.93,5.37,3.98,18.71,17.13,70.94,69.56,
Sludge,36.63,5.79,5.29,24.75,95.70,68.56,3.90,27.54,180,120,64.31,38.16,5.31,2.67,16.28,17.62,69.83,67.00,
Sludge,36.63,5.79,5.29,24.75,95.70,68.56,3.90,27.54,180,240,61.87,38.29,5.20,2.68,14.81,17.74,67.64,64.67,
Sludge,36.63,5.79,5.29,24.75,95.70,68.56,3.90,27.54,200,15,69.32,37.69,5.40,3.08,18.09,17.25,73.68,71.33,
Sludge,36.63,5.79,5.29,24.75,95.70,68.56,3.90,27.54,200,30,66.83,37.85,5.39,3.09,17.66,17.37,71.55,69.06,
Sludge,36.63,5.79,5.29,24.75,95.70,68.56,3.90,27.54,200,60,64.06,37.95,5.22,2.66,18.22,17.04,67.25,66.37,
Sludge,36.63,5.79,5.29,24.75,95.70,68.56,3.90,27.54,200,120,61.26,38.86,5.15,2.72,15.03,17.77,67.09,64.99,
Sludge,36.63,5.79,5.29,24.75,95.70,68.56,3.90,27.54,200,240,60.54,39.24,5.13,2.75,14.13,18.04,67.31,64.85,
Sludge,29.60,4.30,4.35,21.15,89.00,51.13,8.27,40.60,200,240,51.00,26.20,3.14,2.45,11.88,11.22,46.25,45.14,
Sludge,38.55,6.46,8.05,20.88,96.20,66.87,7.07,26.06,180,30,93.90,39.98,5.93,7.00,17.59,18.82,95.44,97.38,
Sludge,38.55,6.46,8.05,20.88,96.20,66.87,7.07,26.06,200,30,92.60,40.39,5.79,7.07,17.23,18.82,94.13,97.02,
Sludge,38.55,6.46,8.05,20.88,96.20,66.87,7.07,26.06,220,30,88.70,41.60,5.41,6.31,13.31,19.35,92.71,95.72,
Sludge,38.55,6.46,8.05,20.88,96.20,66.87,7.07,26.06,250,30,83.40,45.23,4.79,6.33,4.82,21.22,95.58,97.85,
Sludge,38.55,6.46,8.05,20.88,96.20,66.87,7.07,26.06,280,30,80.40,48.45,4.12,5.09,2.58,21.83,94.77,101.05,
Sludge,39.72,5.91,7.15,26.31,88.00,71.53,7.56,20.91,220,30,39.78,40.42,4.65,3.77,12.40,18.06,41.87,40.48,
