sample_id,source_repo,source_file,source_dataset_kind,feedstock_name,blending_case,reference_label,pathway,feedstock_group,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,feedstock_hhv_mj_per_kg,process_temperature_c,residence_time_min,heating_rate_c_per_min,blend_manure_ratio,blend_wet_waste_ratio,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct
Wet-Waste-Biomass-Opt::htc::0036,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,220,30,,,,55.55,29.47,67.74,65.1
Wet-Waste-Biomass-Opt::htc::0037,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,220,45,,,,54.18,30.02,67.31,65.93
Wet-Waste-Biomass-Opt::htc::0038,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,240,15,,,,54.59,29.64,66.95,65.35
Wet-Waste-Biomass-Opt::htc::0039,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,240,30,,,,52.6,29.66,64.56,64.34
Wet-Waste-Biomass-Opt::htc::0040,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,51.2,6.64,8.85,14.61,90.0,79.27,2.03,18.7,,240,45,,,,50.21,31.11,64.63,66.64
Wet-Waste-Biomass-Opt::htc::0041,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,21.86,3.37,3.83,29.14,83.0,55.0,3.2,41.8,,220,60,,,,59.07,10.05,84.73,63.88
Wet-Waste-Biomass-Opt::htc::0042,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,140,240,,,,74.64,14.82,68.16,75.7
Wet-Waste-Biomass-Opt::htc::0043,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,160,60,,,,81.13,17.56,87.8,83.48
Wet-Waste-Biomass-Opt::htc::0044,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,160,120,,,,71.08,17.27,75.66,73.78
Wet-Waste-Biomass-Opt::htc::0045,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,160,240,,,,67.11,17.32,71.62,69.75
Wet-Waste-Biomass-Opt::htc::0046,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,180,30,,,,70.74,17.19,74.95,73.06
Wet-Waste-Biomass-Opt::htc::0047,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,180,60,,,,67.18,17.13,70.94,69.56
Wet-Waste-Biomass-Opt::htc::0048,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,180,120,,,,64.31,17.62,69.83,67.0
Wet-Waste-Biomass-Opt::htc::0049,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,180,240,,,,61.87,17.74,67.64,64.67
Wet-Waste-Biomass-Opt::htc::0050,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,200,15,,,,69.32,17.25,73.68,71.33
Wet-Waste-Biomass-Opt::htc::0051,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,200,30,,,,66.83,17.37,71.55,69.06
Wet-Waste-Biomass-Opt::htc::0052,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,200,60,,,,64.06,17.04,67.25,66.37
Wet-Waste-Biomass-Opt::htc::0053,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,200,120,,,,61.26,17.77,67.09,64.99
Wet-Waste-Biomass-Opt::htc::0054,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.63,5.79,5.29,24.75,95.7,68.56,3.9,27.54,,200,240,,,,60.54,18.04,67.31,64.85
Wet-Waste-Biomass-Opt::htc::0055,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,29.6,4.3,4.35,21.15,89.0,51.13,8.27,40.6,,200,240,,,,51.0,11.22,46.25,45.14
Wet-Waste-Biomass-Opt::htc::0056,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,38.55,6.46,8.05,20.88,96.2,66.87,7.07,26.06,,180,30,,,,93.9,18.82,95.44,97.38
Wet-Waste-Biomass-Opt::htc::0057,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,38.55,6.46,8.05,20.88,96.2,66.87,7.07,26.06,,200,30,,,,92.6,18.82,94.13,97.02
Wet-Waste-Biomass-Opt::htc::0058,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,38.55,6.46,8.05,20.88,96.2,66.87,7.07,26.06,,220,30,,,,88.7,19.35,92.71,95.72
Wet-Waste-Biomass-Opt::htc::0059,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,38.55,6.46,8.05,20.88,96.2,66.87,7.07,26.06,,250,30,,,,83.4,21.22,95.58,97.85
Wet-Waste-Biomass-Opt::htc::0060,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,38.55,6.46,8.05,20.88,96.2,66.87,7.07,26.06,,280,30,,,,80.4,21.83,94.77,101.05
Wet-Waste-Biomass-Opt::htc::0061,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,39.72,5.91,7.15,26.31,88.0,71.53,7.56,20.91,,220,30,,,,39.78,18.06,41.87,40.48
Wet-Waste-Biomass-Opt::htc::0062,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,34.78,3.93,5.04,22.93,82.5,58.54,8.14,33.32,,160,30,,,,68.8,15.04,77.91,70.28
Wet-Waste-Biomass-Opt::htc::0063,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,34.78,3.93,5.04,22.93,82.5,58.54,8.14,33.32,,220,30,,,,73.4,13.99,77.35,70.09
Wet-Waste-Biomass-Opt::htc::0064,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,34.78,3.93,5.04,22.93,82.5,58.54,8.14,33.32,,250,30,,,,56.8,16.98,72.63,62.11
Wet-Waste-Biomass-Opt::htc::0065,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,46.93,6.11,4.17,25.36,75.0,76.76,5.82,17.43,,140,240,,,,72.75,19.11,69.31,68.87
Wet-Waste-Biomass-Opt::htc::0066,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,46.93,6.11,4.17,25.36,75.0,76.76,5.82,17.43,,170,240,,,,66.75,20.24,67.36,65.1
Wet-Waste-Biomass-Opt::htc::0067,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,46.93,6.11,4.17,25.36,75.0,76.76,5.82,17.43,,190,240,,,,62.4,19.71,61.33,60.6
Wet-Waste-Biomass-Opt::htc::0068,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,46.93,6.11,4.17,25.36,75.0,76.76,5.82,17.43,,200,240,,,,62.15,20.34,63.04,61.14
Wet-Waste-Biomass-Opt::htc::0069,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,,180,30,,,,66.18,11.26,64.22,56.13
Wet-Waste-Biomass-Opt::htc::0070,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,,220,30,,,,60.58,10.54,55.02,47.49
Wet-Waste-Biomass-Opt::htc::0071,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,,260,30,,,,56.23,12.4,60.1,54.52
Wet-Waste-Biomass-Opt::htc::0072,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,,300,30,,,,53.0,11.74,53.62,46.46
Wet-Waste-Biomass-Opt::htc::0073,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,,260,60,,,,58.51,12.62,63.63,57.25
Wet-Waste-Biomass-Opt::htc::0074,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,,260,60,,,,59.37,11.93,61.06,57.24
Wet-Waste-Biomass-Opt::htc::0075,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,,260,360,,,,63.32,10.29,56.19,50.34
Wet-Waste-Biomass-Opt::htc::0076,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,25.03,4.21,4.86,16.05,90.0,47.49,2.66,49.85,,260,480,,,,66.19,11.41,65.12,63.78
Wet-Waste-Biomass-Opt::htc::0077,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,43.79,6.58,9.58,24.64,90.42,84.59,0.0,15.41,,160,60,,,,62.11,17.02,53.41,63.2
Wet-Waste-Biomass-Opt::htc::0078,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,43.79,6.58,9.58,24.64,90.42,84.59,0.0,15.41,,200,60,,,,43.15,17.77,38.74,45.49
Wet-Waste-Biomass-Opt::htc::0079,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,43.79,6.58,9.58,24.64,90.42,84.59,0.0,15.41,,240,60,,,,32.42,19.38,31.75,36.88
Wet-Waste-Biomass-Opt::htc::0080,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,32.6,4.8,5.5,21.2,80.0,55.9,8.2,35.9,,250,1200,,,,25.6,13.08,23.78,21.83
Wet-Waste-Biomass-Opt::htc::0081,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.0,5.8,5.5,29.6,83.3,73.2,3.7,23.1,,180,30,,,,82.2,16.16,87.6,86.77
Wet-Waste-Biomass-Opt::htc::0082,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.0,5.8,5.5,29.6,83.3,73.2,3.7,23.1,,220,30,,,,60.4,16.88,67.23,66.44
Wet-Waste-Biomass-Opt::htc::0083,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Sludge,single_source_reference,,htc,sludge,36.0,5.8,5.5,29.6,83.3,73.2,3.7,23.1,,260,30,,,,50.2,16.66,55.17,53.97
Wet-Waste-Biomass-Opt::htc::0084,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,45.03,5.7,0.44,44.93,90.0,75.48,20.62,3.9,,160,60,,,,79.9,16.6,86.39,84.58
Wet-Waste-Biomass-Opt::htc::0085,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,Lignin/cellulose,single_source_reference,,htc,other_biomass,45.03,5.7,0.44,44.93,90.0,75.48,20.62,3.9,,180,60,,,,65.2,17.49,74.29,71.38
