sample_id,recommended_split,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,feedstock_hhv_mj_per_kg,process_temperature_c,residence_time_min,heating_rate_c_per_min,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct
Wet-Waste-Biomass-Opt::pyrolysis::0036,validation,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,370,5,5.0,41.4,26.63,58.25,89.58
Wet-Waste-Biomass-Opt::pyrolysis::0037,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,370,15,5.0,37.75,26.26,52.38,82.32
Wet-Waste-Biomass-Opt::pyrolysis::0038,validation,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,370,45,5.0,33.78,26.91,48.02,74.3
Wet-Waste-Biomass-Opt::pyrolysis::0039,test,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,370,5,20.0,37.27,26.7,52.58,80.32
Wet-Waste-Biomass-Opt::pyrolysis::0040,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,370,15,20.0,33.4,26.32,46.46,72.47
Wet-Waste-Biomass-Opt::pyrolysis::0041,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,370,45,20.0,33.06,26.31,45.96,71.33
Wet-Waste-Biomass-Opt::pyrolysis::0042,validation,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,370,5,50.0,33.23,25.52,44.81,69.41
Wet-Waste-Biomass-Opt::pyrolysis::0043,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,370,15,50.0,30.82,27.16,44.23,68.9
Wet-Waste-Biomass-Opt::pyrolysis::0044,validation,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,370,45,50.0,30.35,27.0,43.28,67.51
Wet-Waste-Biomass-Opt::pyrolysis::0045,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,410,5,5.0,34.45,26.85,48.88,76.88
Wet-Waste-Biomass-Opt::pyrolysis::0046,test,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,410,15,5.0,33.75,26.69,47.58,75.49
Wet-Waste-Biomass-Opt::pyrolysis::0047,validation,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,410,45,5.0,32.89,26.96,46.85,74.55
Wet-Waste-Biomass-Opt::pyrolysis::0048,test,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,410,5,20.0,32.33,26.24,44.82,70.02
Wet-Waste-Biomass-Opt::pyrolysis::0049,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,410,15,20.0,31.71,26.81,44.93,70.73
Wet-Waste-Biomass-Opt::pyrolysis::0050,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,410,45,20.0,29.12,26.46,40.71,64.61
Wet-Waste-Biomass-Opt::pyrolysis::0051,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,410,5,50.0,30.69,26.78,43.43,67.45
Wet-Waste-Biomass-Opt::pyrolysis::0052,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,410,15,50.0,29.88,26.78,42.27,66.35
Wet-Waste-Biomass-Opt::pyrolysis::0053,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,410,45,50.0,28.53,27.55,41.53,65.73
Wet-Waste-Biomass-Opt::pyrolysis::0054,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,450,5,5.0,31.13,28.36,46.65,73.54
Wet-Waste-Biomass-Opt::pyrolysis::0055,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,450,15,5.0,29.79,28.39,44.68,71.08
Wet-Waste-Biomass-Opt::pyrolysis::0056,validation,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,450,45,5.0,29.17,27.87,42.96,69.04
Wet-Waste-Biomass-Opt::pyrolysis::0057,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,450,5,20.0,28.56,27.04,40.8,65.11
Wet-Waste-Biomass-Opt::pyrolysis::0058,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,450,15,20.0,28.22,27.1,40.42,64.76
Wet-Waste-Biomass-Opt::pyrolysis::0059,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,450,45,20.0,28.95,26.94,41.21,66.39
Wet-Waste-Biomass-Opt::pyrolysis::0060,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,450,5,50.0,28.07,26.71,39.62,63.57
Wet-Waste-Biomass-Opt::pyrolysis::0061,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,450,15,50.0,27.85,26.85,39.51,63.99
Wet-Waste-Biomass-Opt::pyrolysis::0062,train,31.26,44.18,0.27,24.3,83.12,7.38,2.41,18.93,450,45,50.0,27.38,27.02,39.1,63.75
Wet-Waste-Biomass-Opt::pyrolysis::0063,validation,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,370,5,5.0,54.01,22.84,56.83,91.1
Wet-Waste-Biomass-Opt::pyrolysis::0064,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,370,15,5.0,53.89,22.25,55.23,91.08
Wet-Waste-Biomass-Opt::pyrolysis::0065,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,370,45,5.0,55.12,23.55,59.81,96.37
Wet-Waste-Biomass-Opt::pyrolysis::0066,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,370,5,20.0,52.49,23.38,56.55,90.57
Wet-Waste-Biomass-Opt::pyrolysis::0067,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,370,15,20.0,51.65,23.32,55.5,90.15
Wet-Waste-Biomass-Opt::pyrolysis::0068,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,370,45,20.0,50.79,24.67,57.72,91.21
Wet-Waste-Biomass-Opt::pyrolysis::0069,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,370,5,50.0,52.29,24.2,58.3,91.34
Wet-Waste-Biomass-Opt::pyrolysis::0070,test,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,370,15,50.0,49.66,22.83,52.23,85.01
Wet-Waste-Biomass-Opt::pyrolysis::0071,validation,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,370,45,50.0,49.65,23.56,53.89,86.9
Wet-Waste-Biomass-Opt::pyrolysis::0072,validation,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,410,5,5.0,50.42,23.34,54.21,88.47
Wet-Waste-Biomass-Opt::pyrolysis::0073,validation,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,410,15,5.0,48.77,24.91,55.97,88.52
Wet-Waste-Biomass-Opt::pyrolysis::0074,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,410,45,5.0,48.21,22.68,50.37,83.7
Wet-Waste-Biomass-Opt::pyrolysis::0075,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,410,5,20.0,50.12,22.24,51.36,85.31
Wet-Waste-Biomass-Opt::pyrolysis::0076,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,410,15,20.0,46.86,23.89,51.58,84.11
Wet-Waste-Biomass-Opt::pyrolysis::0077,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,410,45,20.0,47.21,23.53,51.17,83.68
Wet-Waste-Biomass-Opt::pyrolysis::0078,train,34.93,45.96,1.4,17.72,58.19,25.57,8.92,21.71,410,5,50.0,46.87,23.29,50.29,82.42
