sample_id,dataset_scope,data_tier,row_origin,recommended_split,recommended_sample_weight,recommended_ml_use,source_repo,source_file,source_dataset_kind,reference_label,pathway,feedstock_name,feedstock_group,manure_subtype,blend_manure_ratio,blend_wet_waste_ratio,feedstock_carbon_pct,feedstock_hydrogen_pct,feedstock_nitrogen_pct,feedstock_oxygen_pct,feedstock_moisture_pct,feedstock_volatile_matter_pct,feedstock_fixed_carbon_pct,feedstock_ash_pct,process_temperature_c,residence_time_min,product_char_yield_pct,product_char_hhv_mj_per_kg,energy_recovery_pct,carbon_retention_pct
Wet-Waste-Biomass-Opt::htc::0109,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhang et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,44.15,6.44,0.62,46.79,92.0,83.14,14.86,2.0,225.0,15.0,28.0,24.15,42.87,38.83
Wet-Waste-Biomass-Opt::htc::0110,paper1_htc_scope,observed_single_feed,observed,validation,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhang et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,44.15,6.44,0.62,46.79,92.0,83.14,14.86,2.0,260.0,15.0,30.0,25.42,48.33,44.1
Wet-Waste-Biomass-Opt::htc::0111,paper1_htc_scope,observed_single_feed,observed,validation,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhang et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,44.14,6.18,1.27,41.91,92.0,76.22,17.28,6.5,190.0,15.0,38.0,20.53,47.95,47.98
Wet-Waste-Biomass-Opt::htc::0112,paper1_htc_scope,observed_single_feed,observed,test,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhang et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,44.14,6.18,1.27,41.91,92.0,76.22,17.28,6.5,225.0,15.0,40.0,22.8,56.06,55.7
Wet-Waste-Biomass-Opt::htc::0113,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Zhang et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,44.14,6.18,1.27,41.91,92.0,76.22,17.28,6.5,260.0,15.0,45.0,24.38,67.42,65.16
Wet-Waste-Biomass-Opt::htc::0117,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,,htc,Food waste,food_waste,,0.0,1.0,42.5,5.8,3.2,28.1,80.0,54.09,25.51,20.4,250.0,1200.0,43.8,31.1,77.26,69.67
Wet-Waste-Biomass-Opt::htc::0118,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(PetroviĿ et al., 2016)",htc,Food waste,food_waste,,0.0,1.0,49.48,6.86,2.84,34.29,83.0,76.05,17.42,6.53,180.0,60.0,86.0,23.3,98.25,97.58
Wet-Waste-Biomass-Opt::htc::0119,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(PetroviĿ et al., 2016)",htc,Food waste,food_waste,,0.0,1.0,49.48,6.86,2.84,34.29,83.0,76.05,17.42,6.53,200.0,60.0,78.0,24.8,94.83,92.42
Wet-Waste-Biomass-Opt::htc::0120,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(PetroviĿ et al., 2016)",htc,Food waste,food_waste,,0.0,1.0,49.48,6.86,2.84,34.29,83.0,76.05,17.42,6.53,220.0,60.0,66.0,25.51,82.54,80.71
Wet-Waste-Biomass-Opt::htc::0121,paper1_htc_scope,observed_single_feed,observed,train,1.0,benchmark_trainable,Wet-Waste-Biomass-Opt,HTC_data.csv,literature_experiment,"(Wang et al., 2018)",htc,Food waste,food_waste,,0.0,1.0,41.96,8.01,3.45,35.08,80.0,72.6,15.9,11.5,180.0,60.0,53.82,30.02,83.5,84.03
